league,season,team,player,nation,pos,age,born,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10
ENG-Premier League,2024 - 2025,Chelsea,Levi Colwill,ENG,DF,21,2003,0.73769134,0.48134837,-0.12935786,-0.29668143,-0.6729025,-0.7509731,0.41549683,0.29353347,-0.62947816,0.7120079
ENG-Premier League,2024 - 2025,Chelsea,Malo Gusto,FRA,DF,21,2003,0.45691803,0.0267632,-0.30725586,-0.2881268,0.13047245,0.3102289,0.2196168,-0.18484023,-0.5464548,0.15515167
ENG-Premier League,2024 - 2025,Chelsea,Marc Cucurella,ESP,DF,26,1998,0.073987335,0.5922496,0.0095267985,-0.21824689,-0.16043586,-0.56935364,-0.06591725,0.2557041,-0.66868174,-0.03157719
ENG-Premier League,2024 - 2025,Chelsea,Moisés Caicedo,ECU,"MF,DF",22,2001,-0.18900055,0.70505697,-0.6394091,-0.46618843,-0.08557832,-0.20612642,0.48680902,-0.058977444,-0.7244909,-0.6100399
ENG-Premier League,2024 - 2025,Chelsea,Nicolas Jackson,SEN,FW,23,2001,-0.47767115,-0.47184214,0.15603481,0.057135496,0.8669102,0.280146,-0.7031713,-0.03106935,-0.13184075,0.04559423
ENG-Premier League,2024 - 2025,Chelsea,Noni Madueke,ENG,FW,22,2002,-0.07878401,-0.5061292,0.4355565,0.25792247,0.9049749,0.4937506,-0.18090652,0.1536539,-0.3577657,-0.42911285
ENG-Premier League,2024 - 2025,Chelsea,Pedro Neto,POR,FW,24,2000,0.58534306,-0.34385097,0.15370108,0.68237114,0.5274331,0.27471587,-0.09843611,-0.009812212,-0.51805973,0.30338657
ENG-Premier League,2024 - 2025,Chelsea,Reece James,ENG,"DF,MF",24,1999,0.06739191,-0.48573825,-0.015215012,-0.32469246,-0.44255263,0.66066617,-0.0037281453,-0.046735153,-0.5427417,0.69991636
ENG-Premier League,2024 - 2025,Chelsea,Tosin Adarabioyo,ENG,DF,26,1997,0.13294919,-0.4332398,0.0635005,-0.649977,-0.76063716,0.37236336,0.22325352,0.09310006,-0.6284518,0.7657505
ENG-Premier League,2024 - 2025,Chelsea,Trevoh Chalobah,ENG,DF,25,1999,0.2786206,-0.5942862,0.02012093,-0.64233434,-0.50648373,0.7832604,0.051445458,-0.08402088,-0.71606386,0.7771864
ENG-Premier League,2024 - 2025,Crystal Palace,Adam Wharton,ENG,MF,20,2004,0.18078077,-0.10069898,-0.25960854,-0.2704758,0.026482409,0.7638935,-0.1554593,-0.46592855,-0.60357934,0.5047182
ENG-Premier League,2024 - 2025,Crystal Palace,Chris Richards,USA,DF,24,2000,0.09172845,0.16817494,0.5068568,-0.7937352,-0.42795077,0.020859374,-0.23862673,-0.37539348,-0.6596003,0.39960417
ENG-Premier League,2024 - 2025,Crystal Palace,Daichi Kamada,JPN,MF,27,1996,-0.061246555,-0.08508357,0.12362293,-0.39843905,0.13381717,0.49287003,0.07417432,-0.546621,-0.3584692,0.07612967
ENG-Premier League,2024 - 2025,Crystal Palace,Daniel Muñoz,COL,DF,28,1996,-0.15791775,0.8413374,-0.15265392,-0.003544554,0.78890604,-0.7273151,-0.5792527,-0.2738381,-0.82439035,-0.42511863
ENG-Premier League,2024 - 2025,Crystal Palace,Eberechi Eze,ENG,"MF,FW",26,1998,0.17423104,-0.0636408,-0.19691381,0.29759315,0.41257596,0.4371331,-0.37011755,-0.11727438,0.1091996,-0.3330276
ENG-Premier League,2024 - 2025,Crystal Palace,Eddie Nketiah,ENG,"FW,MF",25,1999,-0.59506845,-0.78071344,0.3556051,-0.52454776,0.8027466,0.76297754,-0.26808614,-0.1847144,-0.29448473,0.14417699
ENG-Premier League,2024 - 2025,Crystal Palace,Ismaila Sarr,SEN,MF,26,1998,0.19862698,-0.14803769,-0.15393507,0.38262883,0.84214777,-0.20449889,-0.80053043,-0.2714273,-0.11624089,-0.12089385
ENG-Premier League,2024 - 2025,Crystal Palace,Jean-Philippe Mateta,FRA,FW,27,1997,-0.21501064,-0.3333113,0.47628337,0.09937135,0.53144705,-0.55631953,-0.70402104,-0.43127632,0.18401678,0.07224005
ENG-Premier League,2024 - 2025,Crystal Palace,Jefferson Lerma,COL,"MF,DF",29,1994,0.27588695,0.15831321,0.061730307,-0.39071217,-0.2663085,0.22508146,0.007900819,-0.62349015,-0.20537636,0.33819667
ENG-Premier League,2024 - 2025,Crystal Palace,Marc Guéhi,ENG,DF,24,2000,0.04687934,0.5854347,-0.044204388,-0.34100056,-0.693166,-0.69400615,0.0682019,-0.056422733,-0.41397852,0.48149526
ENG-Premier League,2024 - 2025,Crystal Palace,Maxence Lacroix,FRA,DF,24,2000,0.32772106,0.6122,0.34705973,-0.7590582,-0.7051653,-0.61394954,0.040123068,-0.7818989,-0.38489234,0.5977827
ENG-Premier League,2024 - 2025,Crystal Palace,Trevoh Chalobah,ENG,DF,25,1999,-0.45809048,-0.25894207,0.4984971,-0.6540653,-0.5308399,0.30013806,-0.14097099,-0.01087096,-0.6436869,0.77090794
ENG-Premier League,2024 - 2025,Crystal Palace,Tyrick Mitchell,ENG,DF,24,1999,0.7387918,0.67604464,0.06718495,0.0969121,0.56078947,-0.3451133,-0.54247636,-0.6060548,-0.83409435,0.03833711
ENG-Premier League,2024 - 2025,Crystal Palace,Will Hughes,ENG,MF,29,1995,0.037184432,0.2692232,-0.30145034,-0.3222599,0.016784567,0.5053131,-0.30416954,-0.6738061,-0.42847496,0.12519607
ENG-Premier League,2024 - 2025,Everton,Abdoulaye Doucouré,MLI,MF,31,1993,-0.15832077,-0.03655111,0.05874224,-0.16208754,0.1886845,-0.110423416,0.026081797,-0.24514644,-0.028401334,-0.089593895
ENG-Premier League,2024 - 2025,Everton,Ashley Young,ENG,DF,39,1985,0.11472787,0.36511338,-0.26663306,-0.3371894,0.069085225,0.46319327,-0.4571738,-0.19780922,-0.8088633,0.53880155
ENG-Premier League,2024 - 2025,Everton,Beto,GNB,FW,26,1998,-0.59759265,-0.6468712,0.7221169,-0.52819544,0.6948463,-0.12384594,-0.692384,-0.37192202,-0.0992587,0.22508937
ENG-Premier League,2024 - 2025,Everton,Dominic Calvert-Lewin,ENG,FW,27,1997,-0.011360872,-0.7546923,0.55704314,-0.5512039,0.72523063,0.4419215,-0.72608787,-0.67501885,-0.20105997,0.047886062
ENG-Premier League,2024 - 2025,Everton,Dwight McNeil,ENG,"MF,FW",24,1999,-0.04526164,-0.28941402,-0.11378546,0.56384534,0.061442684,0.49764043,-0.20245431,0.094436914,-0.54253507,0.8506029
ENG-Premier League,2024 - 2025,Everton,Iliman Ndiaye,SEN,FW,24,2000,-0.37705544,-0.006440886,0.76726526,0.024546608,0.18016358,-0.16472845,0.41789338,-0.2353998,0.0037212078,-0.51120335
