target_player,target_season,model_used,rank,player,age,team,pos,league,season,Match %
Kevin De Bruyne,2024 - 2025,Relu,3,Sebastian Nanasi,22,Strasbourg,"MF,FW",FRA-Ligue 1,2024 - 2025,97.7%
Kevin De Bruyne,2024 - 2025,Relu,4,Alex Baena,22,Villarreal,"MF,FW",ESP-La Liga,2023 - 2024,97.4%
Kevin De Bruyne,2024 - 2025,Relu,5,Charles De Ketelaere,23,Atalanta,"MF,FW",ITA-Serie A,2024 - 2025,97.3%
Kevin De Bruyne,2024 - 2025,Tanh,1,Arda Güler,19,Real Madrid,"MF,FW",ESP-La Liga,2024 - 2025,80.0%
Kevin De Bruyne,2024 - 2025,Tanh,2,Alex Baena,23,Villarreal,"MF,FW",ESP-La Liga,2024 - 2025,79.4%
Kevin De Bruyne,2024 - 2025,Tanh,3,Fares Chaïbi,20,Eint Frankfurt,"MF,FW",GER-Bundesliga,2023 - 2024,77.6%
Kevin De Bruyne,2024 - 2025,Tanh,4,Rodrigo Zalazar,22,Schalke 04,"MF,FW",GER-Bundesliga,2022 - 2023,74.6%
Kevin De Bruyne,2024 - 2025,Tanh,5,Fares Chaïbi,21,Eint Frankfurt,"MF,FW",GER-Bundesliga,2024 - 2025,74.4%
Kevin De Bruyne,2024 - 2025,Tanh + Dropout,1,Arda Güler,19,Real Madrid,"MF,FW",ESP-La Liga,2024 - 2025,89.8%
Kevin De Bruyne,2024 - 2025,Tanh + Dropout,2,Fares Chaïbi,20,Eint Frankfurt,"MF,FW",GER-Bundesliga,2023 - 2024,86.2%
Kevin De Bruyne,2024 - 2025,Tanh + Dropout,3,Alex Baena,23,Villarreal,"MF,FW",ESP-La Liga,2024 - 2025,85.8%
Kevin De Bruyne,2024 - 2025,Tanh + Dropout,4,Harvey Elliott,20,Liverpool,"MF,FW",ENG-Premier League,2023 - 2024,85.7%
Kevin De Bruyne,2024 - 2025,Tanh + Dropout,5,Edon Zhegrova,23,Lille,"FW,MF",FRA-Ligue 1,2022 - 2023,83.6%
Manuel Locatelli,2024 - 2025,Ensemble,1,Moisés Caicedo,22,Chelsea,"MF,DF",ENG-Premier League,2024 - 2025,83.3%
Manuel Locatelli,2024 - 2025,Ensemble,2,Nicolò Rovella,22,Lazio,MF,ITA-Serie A,2024 - 2025,83.1%
Manuel Locatelli,2024 - 2025,Ensemble,3,Enzo Barrenechea,22,Frosinone,MF,ITA-Serie A,2023 - 2024,81.2%
Manuel Locatelli,2024 - 2025,Ensemble,4,Mario Gila,23,Lazio,DF,ITA-Serie A,2024 - 2025,80.8%
Manuel Locatelli,2024 - 2025,Ensemble,5,Moisés Caicedo,20,Brighton,MF,ENG-Premier League,2022 - 2023,79.8%
Manuel Locatelli,2024 - 2025,Mix ReLU,1,Enzo Barrenechea,22,Frosinone,MF,ITA-Serie A,2023 - 2024,98.1%
Manuel Locatelli,2024 - 2025,Mix ReLU,2,Nicolò Rovella,22,Lazio,MF,ITA-Serie A,2024 - 2025,98.1%
Manuel Locatelli,2024 - 2025,Mix ReLU,3,Declan Rice,23,West Ham,MF,ENG-Premier League,2022 - 2023,97.7%
Manuel Locatelli,2024 - 2025,Mix ReLU,4,Hiroki Ito,23,Stuttgart,DF,GER-Bundesliga,2022 - 2023,97.6%
Manuel Locatelli,2024 - 2025,Mix ReLU,5,Fran Beltrán,23,Celta Vigo,MF,ESP-La Liga,2022 - 2023,97.5%
Manuel Locatelli,2024 - 2025,Mix Tanh,1,Enzo Fernández,22,Chelsea,MF,ENG-Premier League,2023 - 2024,83.1%
Manuel Locatelli,2024 - 2025,Mix Tanh,2,Enzo Barrenechea,22,Frosinone,MF,ITA-Serie A,2023 - 2024,79.3%
Manuel Locatelli,2024 - 2025,Mix Tanh,3,Mario Gila,23,Lazio,DF,ITA-Serie A,2024 - 2025,76.1%
Manuel Locatelli,2024 - 2025,Mix Tanh,4,Nicolò Rovella,22,Lazio,MF,ITA-Serie A,2024 - 2025,69.8%
Manuel Locatelli,2024 - 2025,Mix Tanh,5,Edmond Tapsoba,23,Leverkusen,DF,GER-Bundesliga,2022 - 2023,69.6%
Manuel Locatelli,2024 - 2025,ReLU + Tanh bottleneck,1,Declan Rice,23,West Ham,MF,ENG-Premier League,2022 - 2023,86.7%
Manuel Locatelli,2024 - 2025,ReLU + Tanh bottleneck,2,Moisés Caicedo,22,Chelsea,"MF,DF",ENG-Premier League,2024 - 2025,81.7%
Manuel Locatelli,2024 - 2025,ReLU + Tanh bottleneck,3,Moisés Caicedo,21,Chelsea,MF,ENG-Premier League,2023 - 2024,80.5%
Manuel Locatelli,2024 - 2025,ReLU + Tanh bottleneck,4,Edmond Tapsoba,23,Leverkusen,DF,GER-Bundesliga,2022 - 2023,79.9%
Manuel Locatelli,2024 - 2025,ReLU + Tanh bottleneck,5,Mario Gila,23,Lazio,DF,ITA-Serie A,2024 - 2025,79.3%
Manuel Locatelli,2024 - 2025,ReLu + Dropout,1,Enzo Barrenechea,22,Frosinone,MF,ITA-Serie A,2023 - 2024,98.1%
Manuel Locatelli,2024 - 2025,ReLu + Dropout,2,Alessandro Bianco,21,Monza,MF,ITA-Serie A,2024 - 2025,97.4%
Manuel Locatelli,2024 - 2025,ReLu + Dropout,3,Edmond Tapsoba,23,Leverkusen,DF,GER-Bundesliga,2022 - 2023,96.7%
Manuel Locatelli,2024 - 2025,ReLu + Dropout,4,Nicolò Rovella,22,Lazio,MF,ITA-Serie A,2024 - 2025,96.6%
Manuel Locatelli,2024 - 2025,ReLu + Dropout,5,Nico Schlotterbeck,23,Dortmund,DF,GER-Bundesliga,2023 - 2024,96.5%
Manuel Locatelli,2024 - 2025,Relu,1,Nicolò Rovella,22,Lazio,MF,ITA-Serie A,2024 - 2025,98.7%
Manuel Locatelli,2024 - 2025,Relu,2,Angelo Stiller,22,Stuttgart,MF,GER-Bundesliga,2023 - 2024,98.6%
Manuel Locatelli,2024 - 2025,Relu,3,Pedri,21,Barcelona,MF,ESP-La Liga,2024 - 2025,98.6%
Manuel Locatelli,2024 - 2025,Relu,4,Fran Beltrán,23,Celta Vigo,MF,ESP-La Liga,2022 - 2023,98.5%
Manuel Locatelli,2024 - 2025,Relu,5,Enzo Barrenechea,22,Frosinone,MF,ITA-Serie A,2023 - 2024,98.4%
Manuel Locatelli,2024 - 2025,Tanh,1,Enzo Barrenechea,22,Frosinone,MF,ITA-Serie A,2023 - 2024,87.0%
Manuel Locatelli,2024 - 2025,Tanh,2,Mario Gila,23,Lazio,DF,ITA-Serie A,2024 - 2025,85.3%
