league,season,team,player,nation,pos,age,born,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10
ENG-Premier League,2024 - 2025,Brighton,Simon Adingra,CIV,"FW,MF",22,2002,-0.47302285,-0.05579512,-0.29126218,-0.27470306,-0.40162784,0.11764502,0.7952282,-0.034839064,0.5189953,-0.6851043
ENG-Premier League,2024 - 2025,Brighton,Yankuba Minteh,GAM,"FW,MF",20,2004,-0.2763355,0.0779958,-0.17744732,0.03579334,-0.2917142,0.13489422,0.9157039,-0.4443861,0.14033917,-0.82920766
ENG-Premier League,2024 - 2025,Brighton,Yasin Ayari,SWE,MF,20,2003,-0.59400284,0.05144012,-0.4302205,-0.3407467,-0.49022865,0.25604936,0.7774602,-0.07227975,0.15364327,-0.57392234
ENG-Premier League,2024 - 2025,Chelsea,Christopher Nkunku,FRA,FW,26,1997,-0.34514025,-0.27544236,-0.20994455,-0.73962957,-0.3645875,0.21010692,0.8017241,0.13797732,0.5908579,-0.5977809
ENG-Premier League,2024 - 2025,Chelsea,Cole Palmer,ENG,"MF,FW",22,2002,-0.17151774,0.15081285,0.4847501,0.291807,-0.59978265,0.12751174,0.20821013,0.06768717,-0.19957598,0.16255578
ENG-Premier League,2024 - 2025,Chelsea,Enzo Fernández,ARG,MF,23,2001,-0.17029469,-0.015831828,-0.2554262,-0.07527355,-0.54814094,0.44944933,0.7408767,-0.12833837,-0.38265815,-0.23560512
ENG-Premier League,2024 - 2025,Chelsea,Jadon Sancho,ENG,FW,24,2000,-0.23443118,0.1388876,-0.30666736,-0.13621654,-0.26324287,-0.32667708,0.8362926,-0.093003474,0.45900556,-0.46849692
ENG-Premier League,2024 - 2025,Chelsea,Levi Colwill,ENG,DF,21,2003,-0.55489475,-0.14982449,-0.7228728,-0.22453481,-0.07299936,-0.6056225,0.70347667,0.06263455,-0.2927963,0.38280517
ENG-Premier League,2024 - 2025,Chelsea,Malo Gusto,FRA,DF,21,2003,-0.56888133,0.0009099019,-0.50094694,-0.3451245,-0.55680394,-0.004240593,0.78035367,-0.09322409,0.27617726,-0.36636266
ENG-Premier League,2024 - 2025,Chelsea,Marc Cucurella,ESP,DF,26,1998,-0.46904904,0.11264907,-0.5376488,-0.29938528,-0.17019482,0.026451232,0.6969968,-0.38984022,-0.24889846,-0.2932819
