league,season,team,player,nation,pos,age,born,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10
ENG-Premier League,2024 - 2025,Brighton,Jack Hinshelwood,ENG,"MF,DF",19,2005,-0.21512787,-0.046203878,-0.5392079,-0.090362065,0.47616917,0.12234538,-0.043928694,-0.6022245,-0.33193976,0.1034816
ENG-Premier League,2024 - 2025,Brighton,Jan Paul van Hecke,NED,DF,24,2000,0.06052673,-0.037841383,-0.6441824,-0.34226027,0.23802286,0.26585636,-0.09042132,0.35506913,-0.4907783,-0.23990124
ENG-Premier League,2024 - 2025,Brighton,João Pedro,BRA,"FW,MF",22,2001,0.3082815,-0.13390915,0.042660035,0.11097736,-0.06357864,-0.081750914,-0.31049228,-0.5233737,0.04286461,0.028661251
ENG-Premier League,2024 - 2025,Brighton,Joël Veltman,NED,DF,32,1992,0.33925068,-0.32166758,-0.66601354,0.15214834,0.29942617,0.061463922,0.15836689,-0.41510555,-0.55499405,-0.090095565
ENG-Premier League,2024 - 2025,Brighton,Kaoru Mitoma,JPN,"FW,MF",27,1997,-0.14246255,-0.44559908,-0.14318419,-0.34173015,-0.036493935,-0.06444417,0.4984119,-0.6416356,-0.40038857,0.43629107
ENG-Premier League,2024 - 2025,Brighton,Lewis Dunk,ENG,DF,32,1991,0.13718903,-0.094723254,-0.72561014,-0.27223554,0.50422484,0.6122785,-0.19554627,-0.06947017,-0.55869937,-0.27989095
ENG-Premier League,2024 - 2025,Brighton,Mats Wieffer,NED,"DF,MF",24,1999,0.054004535,-0.16893828,-0.51896346,0.33790082,0.4264961,0.1493508,0.23509994,-0.40704936,-0.24160047,-0.24953145
ENG-Premier League,2024 - 2025,Brighton,Matt O'Riley,DEN,MF,23,2000,0.33158466,-0.013853706,-0.19733018,0.4934013,0.2028018,0.0785012,-0.09311615,-0.51545477,-0.26558226,0.0889349
ENG-Premier League,2024 - 2025,Brighton,Pervis Estupiñán,ECU,DF,26,1998,0.25243032,-0.21842425,-0.6830367,-0.15516928,-0.13391128,-0.008714731,0.3567859,-0.2857728,-0.43527928,0.18941116
ENG-Premier League,2024 - 2025,Brighton,Simon Adingra,CIV,"FW,MF",22,2002,0.2162272,-0.23205788,-0.23878802,0.33002052,0.13921,0.10754866,0.15378408,-0.70265365,-0.32098716,0.34519333
ENG-Premier League,2024 - 2025,Brighton,Yankuba Minteh,GAM,"FW,MF",20,2004,0.013151603,-0.3349891,-0.21260075,0.035982914,0.08924666,-0.14235324,0.38101265,-0.59103715,-0.19518363,0.61566657
ENG-Premier League,2024 - 2025,Brighton,Yasin Ayari,SWE,MF,20,2003,0.27388716,-0.20208867,-0.46500415,-0.032741036,0.28095528,-0.072979644,0.33139274,-0.61120826,-0.47238597,0.009583791
ENG-Premier League,2024 - 2025,Chelsea,Christopher Nkunku,FRA,FW,26,1997,0.0030215885,-0.070068836,-0.120943554,0.46713358,0.39207983,0.36185643,0.19444965,-0.67661184,-0.4289695,-0.046376396
ENG-Premier League,2024 - 2025,Chelsea,Cole Palmer,ENG,"MF,FW",22,2002,0.39357978,0.10743376,0.23133247,-0.33411336,0.0037071498,0.13185415,0.0021665508,-0.38607904,-0.14980917,0.1742359
ENG-Premier League,2024 - 2025,Chelsea,Enzo Fernández,ARG,MF,23,2001,0.23154716,0.046609998,-0.2752497,-0.3998814,0.30204144,-0.021034714,0.4232751,-0.41603762,-0.14166845,-0.055964414
ENG-Premier League,2024 - 2025,Chelsea,Jadon Sancho,ENG,FW,24,2000,0.018375056,-0.29955232,-0.30792746,0.062175576,-0.27382022,0.23768355,0.054038953,-0.59472847,-0.22422862,0.37114543
ENG-Premier League,2024 - 2025,Chelsea,Levi Colwill,ENG,DF,21,2003,-0.22886379,-0.31766337,-0.76000184,-0.45193306,0.27315316,0.2766066,-0.22194184,0.37520456,-0.44761038,-0.39593402
ENG-Premier League,2024 - 2025,Chelsea,Malo Gusto,FRA,DF,21,2003,0.3659096,-0.22415861,-0.59840906,-0.13124298,0.2698342,0.297233,0.29867163,-0.4989229,-0.52141535,-0.035419855
ENG-Premier League,2024 - 2025,Chelsea,Marc Cucurella,ESP,DF,26,1998,-0.11893532,-0.18907493,-0.6767308,-0.51703626,0.36732993,-0.02521947,0.29261214,-0.4076384,-0.42167625,0.03190607
ENG-Premier League,2024 - 2025,Chelsea,Moisés Caicedo,ECU,"MF,DF",22,2001,0.2551137,-0.06653632,-0.6416688,-0.42451045,0.1825999,-0.26211208,0.5381745,-0.21291131,-0.39200255,-0.49109647
ENG-Premier League,2024 - 2025,Chelsea,Nicolas Jackson,SEN,FW,23,2001,-0.028293522,-0.4365606,0.129357,-0.005387461,0.37692082,0.15817024,0.16522804,-0.64383537,-0.2991465,0.18452162
ENG-Premier League,2024 - 2025,Chelsea,Noni Madueke,ENG,FW,22,2002,0.08037003,-0.4277811,0.05272534,-0.042207617,-0.052469287,0.19702892,0.31344503,-0.6263588,-0.46771458,0.45562506
ENG-Premier League,2024 - 2025,Chelsea,Pedro Neto,POR,FW,24,2000,0.22982545,-0.18362851,-0.2753917,-0.12056732,-0.21902958,0.20773552,0.16389161,-0.64222085,-0.14698471,0.5351893
ENG-Premier League,2024 - 2025,Chelsea,Reece James,ENG,"DF,MF",24,1999,0.15752009,-0.030527625,-0.6460576,0.27550927,0.21984507,0.11384805,-0.25762635,-0.47751984,-0.35445952,-0.023069678
ENG-Premier League,2024 - 2025,Chelsea,Tosin Adarabioyo,ENG,DF,26,1997,0.0031512722,-0.25497794,-0.7067281,0.23741926,0.22972217,0.24283086,-0.31200576,-0.13205282,-0.4251013,-0.34814498
ENG-Premier League,2024 - 2025,Chelsea,Trevoh Chalobah,ENG,DF,25,1999,0.15294187,-0.2835391,-0.62058264,0.5232794,0.32078588,0.43303576,-0.07680713,-0.2324995,-0.50681645,-0.14308123
ENG-Premier League,2024 - 2025,Crystal Palace,Adam Wharton,ENG,MF,20,2004,0.44734222,0.06039497,-0.5493942,0.1800087,0.4767173,0.19689153,0.13723922,-0.5382075,-0.33391425,0.17074993
ENG-Premier League,2024 - 2025,Crystal Palace,Chris Richards,USA,DF,24,2000,0.1273885,-0.40274468,-0.64284545,0.042378396,0.68428874,0.12075526,0.01242716,-0.27893263,-0.55723286,-0.119074814
ENG-Premier League,2024 - 2025,Crystal Palace,Daichi Kamada,JPN,MF,27,1996,0.4404648,-0.22443284,-0.4688688,0.13335021,0.32719496,0.025443953,0.17873432,-0.56141365,-0.5779206,-0.06976681
ENG-Premier League,2024 - 2025,Crystal Palace,Daniel Muñoz,COL,DF,28,1996,0.15442885,-0.47664,-0.42576772,-0.46133918,0.35750353,-0.2118234,0.69393015,-0.25121382,-0.26297015,0.08391501
ENG-Premier League,2024 - 2025,Crystal Palace,Eberechi Eze,ENG,"MF,FW",26,1998,0.27475235,-0.19037329,0.059560843,-0.11552562,0.097446606,0.013064286,0.19263816,-0.6037723,-0.028907945,0.03273551
ENG-Premier League,2024 - 2025,Crystal Palace,Eddie Nketiah,ENG,"FW,MF",25,1999,0.23625956,-0.22977899,0.03249465,0.4534372,0.40641353,0.18173979,0.18981378,-0.69022936,-0.5072411,0.15885618
ENG-Premier League,2024 - 2025,Crystal Palace,Ismaila Sarr,SEN,MF,26,1998,0.20747153,-0.38736537,0.0021094948,-0.28439763,0.34319445,0.17736527,0.17935684,-0.5166381,-0.3122284,0.5358955
ENG-Premier League,2024 - 2025,Crystal Palace,Jean-Philippe Mateta,FRA,FW,27,1997,0.058629505,-0.3643838,0.10461394,-0.15490307,0.43855122,-0.17040725,-0.16087362,-0.57674724,-0.37295306,0.32290727
ENG-Premier League,2024 - 2025,Crystal Palace,Jefferson Lerma,COL,"MF,DF",29,1994,0.40835047,-0.35889235,-0.60173225,-0.055262502,0.29215208,-0.090735465,-0.010474441,-0.3392829,-0.43116078,-0.059463486
ENG-Premier League,2024 - 2025,Crystal Palace,Marc Guéhi,ENG,DF,24,2000,-0.16748339,-0.32101488,-0.6279078,-0.22827734,0.27461493,-0.2169979,-0.09499112,0.29455557,-0.3540253,-0.2974454
ENG-Premier League,2024 - 2025,Crystal Palace,Maxence Lacroix,FRA,DF,24,2000,0.08351606,-0.54631037,-0.6127135,-0.15706043,0.4856149,-0.04150472,-0.014210538,0.4411961,-0.47202694,-0.3233965
ENG-Premier League,2024 - 2025,Crystal Palace,Trevoh Chalobah,ENG,DF,25,1999,-0.18993908,-0.10085199,-0.6015318,0.4427684,0.34554836,-0.17562735,-0.244569,-0.33754373,-0.4359003,0.029973956
ENG-Premier League,2024 - 2025,Crystal Palace,Tyrick Mitchell,ENG,DF,24,1999,0.39138973,-0.5647632,-0.5596154,-0.37072957,0.24744478,-0.013438544,0.5079656,-0.23558044,-0.2526594,0.31444615
ENG-Premier League,2024 - 2025,Crystal Palace,Will Hughes,ENG,MF,29,1995,0.47140437,-0.29087672,-0.51801395,-0.0062356694,0.43460223,-0.028159063,0.27809253,-0.46096686,-0.3083537,-0.095569514
ENG-Premier League,2024 - 2025,Everton,Abdoulaye Doucouré,MLI,MF,31,1993,0.18310334,-0.42011833,-0.32460487,-0.1269293,0.23685996,-0.05354302,0.1535184,-0.59080446,-0.44662032,-0.11681807
ENG-Premier League,2024 - 2025,Everton,Ashley Young,ENG,DF,39,1985,0.23755786,-0.047000084,-0.7258196,0.0069779255,0.31755006,-0.10104088,0.20110345,-0.45143902,-0.124489464,0.23915999
ENG-Premier League,2024 - 2025,Everton,Beto,GNB,FW,26,1998,-0.013627259,-0.45875597,0.10036038,0.31075335,0.42563072,-0.16937262,-0.03696522,-0.4909009,-0.49343097,0.37640193
ENG-Premier League,2024 - 2025,Everton,Dominic Calvert-Lewin,ENG,FW,27,1997,0.34856534,-0.6191688,0.023755655,0.2160842,0.4419247,0.11098943,-0.026406853,-0.63913476,-0.49809527,0.36131537
ENG-Premier League,2024 - 2025,Everton,Dwight McNeil,ENG,"MF,FW",24,1999,0.048420247,0.13635184,-0.40324828,0.318654,-0.0037127861,0.04069631,-0.026586425,-0.54564786,0.15485649,0.39518765
ENG-Premier League,2024 - 2025,Everton,Iliman Ndiaye,SEN,FW,24,2000,0.036478918,-0.32500333,-0.18436487,-0.12986155,-0.14518857,-0.49915865,0.068819284,-0.6760798,-0.4583107,-0.06676877
ENG-Premier League,2024 - 2025,Everton,Jack Harrison,ENG,FW,27,1996,0.4879118,-0.4510163,-0.291167,-0.0703132,0.1362535,-0.02181223,0.27563387,-0.61765105,-0.60453874,0.5397247
ENG-Premier League,2024 - 2025,Everton,Jake O'Brien,IRL,DF,23,2001,-0.22917444,-0.21628343,-0.67471564,0.24534427,0.45459023,0.0063233445,-0.23489113,-0.2222221,-0.5087667,0.06892543
ENG-Premier League,2024 - 2025,Everton,James Garner,ENG,"MF,DF",23,2001,0.37565908,-0.26914796,-0.6026139,0.19928528,0.42452028,0.07432729,0.16558482,-0.43427584,-0.45535398,0.01151888
ENG-Premier League,2024 - 2025,Everton,James Tarkowski,ENG,DF,31,1992,0.028833296,-0.522611,-0.60446286,-0.13136598,0.49114662,-0.20053224,-0.14548004,0.44905058,-0.43960682,-0.22061595
ENG-Premier League,2024 - 2025,Everton,Jarrad Branthwaite,ENG,DF,22,2002,0.113224484,-0.53216904,-0.6902152,0.04815139,0.36800274,0.21851943,-0.1376997,0.26537073,-0.46488002,-0.082853824
ENG-Premier League,2024 - 2025,Everton,Jesper Lindstrøm,DEN,FW,24,2000,0.49295756,-0.3288368,-0.3335216,0.23369402,0.42822248,0.03143556,0.3034778,-0.699813,-0.463575,0.3112157
ENG-Premier League,2024 - 2025,Everton,Michael Keane,ENG,DF,31,1993,-0.18757498,0.0063062217,-0.6801966,0.23551363,0.73096794,0.10287007,-0.3774016,-0.5046787,-0.48261416,-0.0053702057
ENG-Premier League,2024 - 2025,Everton,Orel Mangala,BEL,MF,26,1998,0.19384262,-0.17353597,-0.5252644,0.37138793,0.17592303,0.05577692,-0.1505349,-0.57694083,-0.55436444,-0.1360095
ENG-Premier League,2024 - 2025,Everton,Vitaliy Mykolenko,UKR,DF,25,1999,0.29468367,-0.3442076,-0.751507,-0.2985013,0.15230247,-0.13272065,0.23538789,-0.20014228,-0.2740016,0.38838857
ENG-Premier League,2024 - 2025,Fulham,Adama Traoré,ESP,"FW,MF",28,1996,0.31415185,-0.39740622,-0.12390889,0.13700056,-0.08843427,0.28640604,0.03080268,-0.5054584,-0.008928687,0.3144751
ENG-Premier League,2024 - 2025,Fulham,Alex Iwobi,NGA,"FW,MF",28,1996,-0.003962273,-0.120032825,-0.31394646,-0.41584745,-0.2892636,-0.0466586,0.18517664,-0.417025,-0.17702565,0.44016215
ENG-Premier League,2024 - 2025,Fulham,Antonee Robinson,USA,DF,26,1997,0.3550951,-0.5505416,-0.70923233,-0.4171966,-0.19071609,0.020166764,0.5853995,-0.103148416,0.22395119,0.087356046
ENG-Premier League,2024 - 2025,Fulham,Calvin Bassey,NGA,DF,24,1999,-0.04491089,-0.3772378,-0.773788,-0.32088816,0.1332218,0.1998219,-0.08511931,0.21268009,-0.52217376,-0.33260193
ENG-Premier League,2024 - 2025,Fulham,Emile Smith Rowe,ENG,MF,24,2000,-0.116969645,-0.18986416,-0.35142818,-0.12822595,0.12265129,0.10375412,0.041580644,-0.6967663,-0.29780683,-0.12683183
ENG-Premier League,2024 - 2025,Fulham,Harry Wilson,WAL,"FW,MF",27,1997,-0.08420022,0.0114624845,-0.24916378,0.337754,0.34008828,-0.06278881,0.091240875,-0.71610737,-0.3330571,0.33083946
ENG-Premier League,2024 - 2025,Fulham,Issa Diop,FRA,DF,27,1997,0.15401697,-0.41380563,-0.6688955,0.3530934,0.45017388,0.31599015,-0.16021256,-0.15547395,-0.60848445,-0.21394275
ENG-Premier League,2024 - 2025,Fulham,Joachim Andersen,DEN,DF,28,1996,0.15353675,-0.1820609,-0.68956596,-0.07512785,0.2761968,0.14632569,-0.35770676,0.56417435,-0.47241077,-0.25204545
ENG-Premier League,2024 - 2025,Fulham,Kenny Tete,NED,DF,28,1995,0.3285273,-0.47718897,-0.60578257,0.15671335,0.2516598,0.10255581,0.2403573,-0.38939276,-0.3932419,-0.13169394
ENG-Premier League,2024 - 2025,Fulham,Raúl Jiménez,MEX,FW,33,1991,0.12565193,-0.2978816,0.09590635,-0.13239896,0.35574722,-0.17992724,-0.103491426,-0.57462215,-0.33602607,0.018729817
ENG-Premier League,2024 - 2025,Fulham,Rodrigo Muniz,BRA,FW,23,2001,-0.23053508,-0.11004578,0.012682533,0.5146204,0.5263484,-0.14597598,-0.013657492,-0.6287133,-0.3340487,0.24419731
ENG-Premier League,2024 - 2025,Fulham,Sander Berge,NOR,MF,26,1998,0.22412519,-0.32408845,-0.50706625,0.11720312,0.28530097,0.11466276,0.07222082,-0.21443936,-0.6264365,-0.4803708
ENG-Premier League,2024 - 2025,Fulham,Saša Lukić,SRB,MF,27,1996,0.4192785,-0.21471632,-0.5391106,-0.039502483,0.24809335,0.024695206,0.2446873,-0.41915527,-0.4427944,-0.3144279
ENG-Premier League,2024 - 2025,Fulham,Timothy Castagne,BEL,DF,28,1995,0.2521383,-0.38855755,-0.66115797,0.21992391,0.3171489,0.17625049,0.15889172,-0.31161857,-0.48888832,-0.033687867
