league,season,team,player,nation,age,born,preferred_foot,pos,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10
ENG-Premier League,2024 - 2025,Brighton,Lewis Dunk,ENG,32,1991,Right,CB,-0.055646468,0.21330029,-0.7987174,0.6596093,0.25842336,0.24277186,-0.5083801,0.1946786,-0.6215828,0.24250498
ENG-Premier League,2024 - 2025,Brighton,Mats Wieffer,NED,24,1999,Right,CDM,-0.35539687,-0.20708774,-0.06969054,0.3880469,0.6052791,-0.33197117,-0.61203533,-0.3011402,-0.2462413,-0.27573892
ENG-Premier League,2024 - 2025,Brighton,Matt O'Riley,DEN,23,2000,Left,CAM,-0.4746102,-0.307882,-0.505743,0.30328837,0.5319636,0.10823171,-0.37265483,-0.3086293,0.32348573,-0.23044382
ENG-Premier League,2024 - 2025,Brighton,Pervis Estupiñán,ECU,26,1998,Left,LB,-0.070183605,-0.46807885,0.0740131,0.63885146,0.5042783,-0.051350523,-0.58842355,0.14748578,-0.21691804,-0.113668196
ENG-Premier League,2024 - 2025,Brighton,Simon Adingra,CIV,22,2002,Right,RM,-0.4866997,-0.46666,-0.2029915,0.4768039,0.6971283,-0.055486944,-0.33286044,-0.17802043,0.115873724,-0.13996007
ENG-Premier League,2024 - 2025,Brighton,Yankuba Minteh,GAM,20,2004,Left,RM,-0.42398262,-0.56422794,0.46964076,0.3847576,0.7597373,-0.07444072,-0.21728325,-0.02945908,0.022058437,-0.27758652
ENG-Premier League,2024 - 2025,Brighton,Yasin Ayari,SWE,20,2003,Right,CM,-0.12254927,-0.39206508,-0.0491896,0.6350882,0.5960282,-0.21315357,-0.36142692,-0.1816954,-0.13669457,-0.24391794
ENG-Premier League,2024 - 2025,Chelsea,Christopher Nkunku,FRA,26,1997,Right,CAM,-0.7388396,-0.116647065,-0.40536886,0.40880856,0.5036478,-0.27799112,-0.23972374,-0.36229306,0.111277,0.12393663
ENG-Premier League,2024 - 2025,Chelsea,Cole Palmer,ENG,22,2002,Left,CAM,0.31960016,-0.31460992,-0.11583902,-0.08880028,-0.55364645,-0.09114768,0.44747394,0.58944094,0.41324884,-0.057717104
ENG-Premier League,2024 - 2025,Chelsea,Enzo Fernández,ARG,23,2001,Right,CM,0.17815466,-0.3753197,0.20597473,0.19789267,0.12343369,-0.42558044,-0.156415,0.06604086,-0.45230517,-0.27298504
ENG-Premier League,2024 - 2025,Chelsea,Jadon Sancho,ENG,24,2000,Right,LW,-0.36480677,-0.42711738,0.007703925,0.38303813,0.6262303,-0.011848719,-0.34257603,0.1761344,0.056143712,0.35199118
ENG-Premier League,2024 - 2025,Chelsea,Levi Colwill,ENG,21,2003,Left,CB,0.44961116,0.6547921,-0.21359847,0.55799776,-0.0074712285,0.35051316,-0.6658573,0.58484197,-0.8010686,0.36890134
ENG-Premier League,2024 - 2025,Chelsea,Malo Gusto,FRA,21,2003,Right,RB,-0.13261518,-0.35695514,-0.37284973,0.6504401,0.56221914,-0.21086483,-0.4434894,0.06369659,-0.33817482,-0.04374956
ENG-Premier League,2024 - 2025,Chelsea,Marc Cucurella,ESP,26,1998,Left,LB,0.19862372,-0.17954245,0.19152509,0.705243,0.535567,-0.2014294,-0.25678897,-0.058876652,-0.7180317,0.06553453
ENG-Premier League,2024 - 2025,Chelsea,Moisés Caicedo,ECU,22,2001,Right,CDM,0.5540092,-0.39187822,0.31987217,0.67466044,0.20926696,-0.75495625,-0.6951966,-0.0060904874,-0.57633007,-0.17771016
ENG-Premier League,2024 - 2025,Chelsea,Nicolas Jackson,SEN,23,2001,Right,ST,-0.59017,0.12858514,0.06713517,0.21984655,0.5775191,-0.26800182,0.16195926,0.12540562,0.22738789,-0.12653422
ENG-Premier League,2024 - 2025,Chelsea,Noni Madueke,ENG,22,2002,Left,RW,-0.62684536,-0.4601664,0.19979173,0.4563128,0.6243399,-0.28549194,0.17924403,0.31338263,0.37361735,0.13833997
ENG-Premier League,2024 - 2025,Chelsea,Pedro Neto,POR,24,2000,Left,RM,-0.30419186,-0.7211491,0.0013073601,0.28405,0.5990893,0.11523883,-0.23586993,0.30320916,0.0037210523,0.21689986
ENG-Premier League,2024 - 2025,Chelsea,Reece James,ENG,24,1999,Right,RB,-0.2684804,-0.2696622,-0.48126784,0.42507964,0.51789147,0.27264613,-0.52703303,-0.31964064,-0.0010405142,-0.038784403
ENG-Premier League,2024 - 2025,Chelsea,Tosin Adarabioyo,ENG,26,1997,Right,CB,-0.15763551,0.225149,-0.5091036,0.44261596,0.37018672,0.30012223,-0.6981781,-0.12285974,-0.14326815,0.10627852
ENG-Premier League,2024 - 2025,Chelsea,Trevoh Chalobah,ENG,25,1999,Right,CB,-0.6091865,-0.113022245,-0.58403,0.5247975,0.5591072,0.14875253,-0.651263,-0.089578636,-0.018944228,-0.09401525
ENG-Premier League,2024 - 2025,Crystal Palace,Adam Wharton,ENG,20,2004,Left,CDM,-0.39054742,-0.52403027,-0.51659864,0.4935041,0.591665,0.07345658,-0.51394606,-0.28554088,-0.21716374,-0.40083843
ENG-Premier League,2024 - 2025,Crystal Palace,Chris Richards,USA,24,2000,Right,CB,-0.10386195,0.13502412,-0.337039,0.6989551,0.6693926,0.07406669,-0.4687591,-0.16260466,-0.48490003,-0.4409724
ENG-Premier League,2024 - 2025,Crystal Palace,Daichi Kamada,JPN,27,1996,Right,CM,-0.16579813,-0.33025432,-0.31313497,0.7032848,0.60380095,-0.11038798,-0.39580786,-0.13784741,-0.02177241,-0.31904706
ENG-Premier League,2024 - 2025,Crystal Palace,Daniel Muñoz,COL,28,1996,Right,RB,0.17469949,-0.2639045,0.5073277,0.4990795,0.61689365,-0.6103317,-0.32171324,0.25194237,-0.6112838,-0.5288838
ENG-Premier League,2024 - 2025,Crystal Palace,Eberechi Eze,ENG,26,1998,Right,CAM,-0.033839747,-0.36927268,0.04238643,0.047520015,0.33569935,-0.35962895,-0.22124153,0.025665376,0.28142706,-0.30553636
ENG-Premier League,2024 - 2025,Crystal Palace,Eddie Nketiah,ENG,25,1999,Right,ST,-0.70474964,-0.16994013,-0.36704814,0.5203931,0.6159511,-0.1511388,-0.10053224,-0.27963996,0.35783836,-0.34211615
ENG-Premier League,2024 - 2025,Crystal Palace,Ismaila Sarr,SEN,26,1998,Right,CAM,-0.48059642,-0.19737557,-0.03314091,0.30120832,0.48614395,0.05146576,0.19994384,0.35182315,-0.02297475,-0.39110193
ENG-Premier League,2024 - 2025,Crystal Palace,Jean-Philippe Mateta,FRA,27,1997,Right,ST,-0.25395986,0.13451762,-0.05150088,0.3593607,0.58252054,0.22278738,0.25737157,0.012864875,0.2822211,-0.26552013
ENG-Premier League,2024 - 2025,Crystal Palace,Jefferson Lerma,COL,29,1994,Right,CDM,0.027091768,-0.19813408,-0.2743305,0.564125,0.5862963,0.02534774,-0.427035,0.0047126175,-0.036071636,-0.34252006
ENG-Premier League,2024 - 2025,Crystal Palace,Marc Guéhi,ENG,24,2000,Right,CB,0.2651145,0.29017627,0.13949744,0.47747454,0.29312876,0.14818786,-0.58088297,0.15225308,-0.36263573,-0.17973927
ENG-Premier League,2024 - 2025,Crystal Palace,Maxence Lacroix,FRA,24,2000,Right,CB,0.26503757,0.55398947,-0.20543495,0.5786737,0.3199143,0.09537187,-0.6419783,0.38210422,-0.4977571,-0.630268
ENG-Premier League,2024 - 2025,Crystal Palace,Trevoh Chalobah,ENG,25,1999,Right,CB,-0.3876155,-0.09024867,-0.04022729,0.5140735,0.656095,0.36250722,-0.5947499,-0.5098897,0.013255654,-0.18899117
ENG-Premier League,2024 - 2025,Crystal Palace,Tyrick Mitchell,ENG,24,1999,Left,LB,-0.023240106,-0.41775885,0.06667594,0.47457138,0.7485021,-0.24008706,-0.4117503,0.34008127,-0.44300354,-0.47405967
