league,season,team,player,nation,age,born,preferred_foot,pos,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10
ENG-Premier League,2024 - 2025,Crystal Palace,Jefferson Lerma,COL,29,1994,Right,CDM,0.7923037,0.09282348,0.23376393,0.091086514,-0.13669285,0.52608496,0.27088368,-0.012580729,0.07046931,0.20543836
ENG-Premier League,2024 - 2025,Crystal Palace,Marc Guéhi,ENG,24,2000,Right,CB,0.72769165,0.16628696,0.1111311,0.388485,0.24626376,0.20934273,0.4429929,0.017098637,0.30323377,-0.18596281
ENG-Premier League,2024 - 2025,Crystal Palace,Maxence Lacroix,FRA,24,2000,Right,CB,0.57609797,0.34380332,0.11327039,0.52213776,0.07753184,0.42961285,0.7593795,-0.014900491,0.22227655,0.026263341
ENG-Premier League,2024 - 2025,Crystal Palace,Trevoh Chalobah,ENG,25,1999,Right,CB,0.6677739,-0.055271164,0.61793387,-0.015454109,0.37783843,0.023594461,0.24271014,-0.3688126,-0.29094905,0.16436358
ENG-Premier League,2024 - 2025,Crystal Palace,Tyrick Mitchell,ENG,24,1999,Left,LB,0.80931854,-0.18087673,-0.2935948,-0.056153238,-0.18993184,0.19557211,0.5148359,0.43060026,0.29477242,0.52984816
ENG-Premier League,2024 - 2025,Crystal Palace,Will Hughes,ENG,29,1995,Left,CDM,0.7063432,-0.13118951,0.31588054,-0.044033617,-0.39104778,0.33467728,0.35306033,0.13840862,0.067565955,0.29951185
ENG-Premier League,2024 - 2025,Everton,Abdoulaye Doucouré,MLI,31,1993,Right,CAM,0.6598367,0.0318536,0.19657455,-0.2975434,-0.21364193,0.30408207,0.37269408,-0.08299676,0.24475943,0.11494188
ENG-Premier League,2024 - 2025,Everton,Ashley Young,ENG,39,1985,Right,RB,0.7561919,-0.358017,0.24879153,0.058789663,-0.060995236,0.09043678,0.13255155,0.15984239,-0.09720002,0.37579033
ENG-Premier League,2024 - 2025,Everton,Beto,GNB,26,1998,Right,ST,0.23183435,0.35389763,0.5671352,-0.5947752,0.052760806,0.24730626,0.19556227,-0.3881166,-0.054667257,0.32686803
ENG-Premier League,2024 - 2025,Everton,Dominic Calvert-Lewin,ENG,27,1997,Right,ST,0.37065846,0.36097318,0.31778774,-0.5665755,-0.22485676,0.4366081,0.38606176,-0.33828145,-0.22202896,0.3945958
ENG-Premier League,2024 - 2025,Everton,Dwight McNeil,ENG,24,1999,Left,LM,0.6221597,-0.17260823,0.11915071,-0.3289776,-0.050008748,-0.09226487,-0.2617767,0.0747782,-0.49135178,0.14713636
ENG-Premier League,2024 - 2025,Everton,Iliman Ndiaye,SEN,24,2000,Right,LM,0.111159384,-0.49473438,0.20824607,-0.3904081,0.13070293,0.18695568,0.3189232,-0.19247267,0.14871787,0.15949686
