league,season,team,player,nation,age,born,preferred_foot,pos,macro_pos,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10,AE_11,AE_12,AE_13,AE_14,AE_15,AE_16
ENG-Premier League,2024 - 2025,Chelsea,Jadon Sancho,ENG,24,2000,Right,LW,Winger,-0.36827382,-0.43314624,-0.027524931,-0.27489537,-0.050249085,0.75486845,0.59688723,0.08721644,0.33376294,0.046878155,0.68577164,-0.05802366,0.09722278,0.011369854,-0.4510272,0.3960464
ENG-Premier League,2024 - 2025,Chelsea,Levi Colwill,ENG,21,2003,Left,CB,CB,0.2572927,-0.03487851,-0.36193785,-0.9175087,0.35649422,0.29034543,-0.3513046,0.16804281,-0.13538058,-0.53922486,-0.1716585,-0.37067467,-1.1488351,0.2141969,0.5474622,0.073049806
ENG-Premier League,2024 - 2025,Chelsea,Malo Gusto,FRA,21,2003,Right,RB,Fullback,0.55679464,-0.32511964,-0.31662136,0.067831546,0.21814862,0.54106295,0.039821517,-0.027513288,-0.163717,0.019126814,0.6709323,-0.5751151,-0.49077576,-0.33616522,-0.20049232,0.64943665
ENG-Premier League,2024 - 2025,Chelsea,Marc Cucurella,ESP,26,1998,Left,LB,Fullback,0.5850356,-0.70899737,0.3062623,-0.42965472,0.47885123,0.3704841,-0.34011436,0.7807074,-0.2818435,-0.13614964,0.31000644,-0.24599114,-0.6921789,0.04970506,0.23548907,0.18083458
ENG-Premier League,2024 - 2025,Chelsea,Moisés Caicedo,ECU,22,2001,Right,CDM,CDM,0.97364086,-0.5418712,0.09192616,0.47810215,0.4783658,0.5399525,-0.8479497,0.5671931,0.30069366,-0.048583623,0.5200728,-0.84539217,-0.17430337,-0.12800345,0.20178509,-0.20204619
ENG-Premier League,2024 - 2025,Chelsea,Nicolas Jackson,SEN,23,2001,Right,ST,ST,0.17884196,0.59770775,0.7711237,-0.30895585,0.04592944,0.77484506,0.2657835,-0.15858991,-0.021498432,0.5083803,0.35332617,0.13922492,0.4292324,0.13321027,-0.6892281,0.46015528
ENG-Premier League,2024 - 2025,Chelsea,Noni Madueke,ENG,22,2002,Left,RW,Winger,0.20451988,0.30201676,0.40789327,-0.17814216,-0.19722295,0.5130274,0.6727492,-0.26971173,0.28797194,0.0047852322,0.53530306,0.2653118,-0.2519246,-0.096848756,-0.85816824,0.24039605
ENG-Premier League,2024 - 2025,Chelsea,Pedro Neto,POR,24,2000,Left,RM,Wide Midfielder,-0.07517119,-0.33502075,0.4912721,-0.23577304,0.03850117,0.41981906,0.96882516,-0.26767576,0.24478476,0.07000433,0.63183665,-0.1967921,-0.25627872,-0.040284663,-0.1406565,0.33113998
ENG-Premier League,2024 - 2025,Chelsea,Reece James,ENG,24,1999,Right,RB,Fullback,0.12953795,-0.3623233,-0.65891236,-0.55282974,-0.2758961,0.4095155,0.57599723,0.16626199,0.00527646,0.43809628,0.77952486,-0.59816444,0.32537022,-0.2545661,0.06875538,0.6193224
ENG-Premier League,2024 - 2025,Chelsea,Tosin Adarabioyo,ENG,26,1997,Right,CB,CB,0.21428111,-0.10238174,-0.9651266,-0.7991249,-0.026759028,0.6304828,0.36817616,0.09561687,-0.03187462,0.04933503,0.6508095,-0.32040793,-0.13728683,0.17888488,0.12611955,0.37779164
ENG-Premier League,2024 - 2025,Chelsea,Trevoh Chalobah,ENG,25,1999,Right,CB,CB,0.24300887,-0.14208795,-1.0130789,-0.30418885,-0.0027827173,0.6565304,0.7403663,0.106428295,-0.26505837,0.36180165,0.7613529,-0.17049897,-0.030825447,0.02950935,-0.21103907,0.802465
ENG-Premier League,2024 - 2025,Crystal Palace,Adam Wharton,ENG,20,2004,Left,CDM,CDM,0.46209723,-0.49923316,-0.31630257,0.19679412,-0.19356698,0.24118395,0.5712711,0.0981666,-0.24475642,0.34354666,0.7540455,-0.62436324,0.39683086,-0.576858,-0.1124739,0.9956248
ENG-Premier League,2024 - 2025,Crystal Palace,Chris Richards,USA,24,2000,Right,CB,CB,0.668267,-0.58247864,-0.41124535,-0.3270481,-0.096643746,0.37537253,0.093424976,0.25005293,-0.2961671,0.17798911,0.33758754,0.23149547,-0.10637497,-0.06008087,0.044832416,1.129379
ENG-Premier League,2024 - 2025,Crystal Palace,Daichi Kamada,JPN,27,1996,Right,CM,CM,0.5898191,-0.24197605,-0.23880504,0.11203462,-0.20138392,0.5982037,0.17638226,0.17488891,-0.016489862,0.32891303,1.0122763,-0.6238795,0.12785347,-0.11096637,-0.14440164,0.8173107
ENG-Premier League,2024 - 2025,Crystal Palace,Daniel Muñoz,COL,28,1996,Right,RB,Fullback,1.0598743,-0.7017113,0.6113732,0.58336425,0.71701944,0.304599,-0.42195702,0.47376364,-0.03057387,-0.47195077,0.30294007,0.110477574,-0.018752014,0.42151344,-0.014091603,0.4894559
ENG-Premier League,2024 - 2025,Crystal Palace,Eberechi Eze,ENG,26,1998,Right,CAM,CAM,0.2336395,0.26759875,0.63229424,0.25668836,0.19079742,0.26372218,0.35189456,-0.4680243,0.37235102,0.5187632,0.5604002,-0.40403315,0.3314232,-0.10281867,-0.07506196,0.15923065
ENG-Premier League,2024 - 2025,Crystal Palace,Eddie Nketiah,ENG,25,1999,Right,ST,ST,0.33229876,0.38261363,-0.14857034,-0.10856735,-0.2567996,0.62393075,0.55652815,-0.04199685,-0.285648,0.49980107,0.9022228,-0.019903727,0.29063985,-0.19384506,-0.9419674,0.70548993
ENG-Premier League,2024 - 2025,Crystal Palace,Ismaila Sarr,SEN,26,1998,Right,CAM,CAM,-0.06259866,0.3442727,1.1328353,0.07815267,-0.1431886,0.63635916,0.21246599,-0.010634609,-0.097460404,-0.19915946,0.27069736,-0.045391317,0.30628687,0.45247197,-0.12875116,0.65157264
