league,season,team,player,nation,age,born,preferred_foot,pos,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10
ENG-Premier League,2024 - 2025,Brentford,Nathan Collins,IRL,23,2001,Right,CB,-0.39254984,0.47785473,0.7610223,-0.36365163,-0.18904142,-0.521322,-0.092768244,0.110059306,-0.22355081,0.14077838
ENG-Premier League,2024 - 2025,Brentford,Sepp van den Berg,NED,22,2001,Right,CB,0.10112356,0.59952086,0.638224,-0.23115969,-0.22413188,-0.17343916,0.3235989,-0.031391367,-0.09354884,-0.07949373
ENG-Premier League,2024 - 2025,Brentford,Vitaly Janelt,GER,26,1998,Left,CM,0.0476757,0.24161588,0.18901385,-0.10019309,-0.2662844,0.11001731,-0.12992392,0.11974401,-0.10403415,0.115637094
ENG-Premier League,2024 - 2025,Brentford,Yehor Yarmoliuk,UKR,20,2004,Right,CM,0.2736032,0.41096342,-0.025956506,-0.28427145,-0.27956325,0.33794963,0.15342511,0.0052846074,0.057123825,-0.24847303
ENG-Premier League,2024 - 2025,Brentford,Yoane Wissa,COD,27,1996,Right,ST,0.3754781,0.49986556,-0.024476202,0.44084364,0.5585213,-0.35919684,-0.4892564,0.18079299,0.19656147,-0.26892027
ENG-Premier League,2024 - 2025,Brighton,Carlos Baleba,CMR,20,2004,Left,CDM,0.37606665,0.15926935,-0.10086209,-0.52851784,-0.23051684,-0.17830148,-0.024515029,0.14368826,0.17937462,-0.20560354
ENG-Premier League,2024 - 2025,Brighton,Danny Welbeck,ENG,33,1990,Right,ST,0.12510522,0.42470798,-0.15652828,0.11653729,0.40172848,0.004873608,-0.13091889,-0.024566803,-0.120795265,-0.24888496
ENG-Premier League,2024 - 2025,Brighton,Georginio Rutter,FRA,22,2002,Left,CAM,0.26949856,0.093462996,-0.104103856,0.044665765,0.21591565,0.20529225,0.16975743,0.34669033,0.18523729,-0.08284335
ENG-Premier League,2024 - 2025,Brighton,Jack Hinshelwood,ENG,19,2005,Right,CDM,0.011440499,0.19547923,0.16425422,0.105516106,-0.012605764,0.185349,-0.5263323,0.049438983,-0.19925767,-0.06963192
ENG-Premier League,2024 - 2025,Brighton,Jan Paul van Hecke,NED,24,2000,Right,CB,0.10043557,-0.17135686,0.5013272,-0.4913587,-0.6205405,-0.3231497,-0.09987672,-0.22607625,-0.43933314,0.029679192
ENG-Premier League,2024 - 2025,Brighton,João Pedro,BRA,22,2001,Right,ST,-0.6445098,-0.08282586,-0.341237,0.23733348,0.27999717,-0.0015775986,0.26794955,-0.19026707,-0.120989494,-0.056056496
ENG-Premier League,2024 - 2025,Brighton,Joël Veltman,NED,32,1992,Right,RB,0.22430824,0.2735406,0.16412894,-0.25038773,-0.38319314,0.31163624,0.12256499,0.08149345,0.04909471,-0.10569027
ENG-Premier League,2024 - 2025,Brighton,Kaoru Mitoma,JPN,27,1997,Right,LM,0.51216525,-0.054033373,-0.0994406,0.18962143,0.20046,-0.19207433,-0.4048244,-0.011574036,0.653135,0.1209924
ENG-Premier League,2024 - 2025,Brighton,Lewis Dunk,ENG,32,1991,Right,CB,0.2750855,0.3627362,0.5175677,-0.09112144,-0.68290454,0.05183157,-0.12742464,-0.3843179,-0.60839105,-0.03872846
ENG-Premier League,2024 - 2025,Brighton,Mats Wieffer,NED,24,1999,Right,CDM,0.48705602,0.4601102,-0.004249249,-0.24450181,0.0040542437,0.49453673,-0.1345128,0.14467157,-0.18851513,0.051444672
ENG-Premier League,2024 - 2025,Brighton,Matt O'Riley,DEN,23,2000,Left,CAM,0.015462396,0.057763338,-0.17219125,0.10937427,0.008616123,0.55088884,0.3596204,0.0060302294,-0.32401484,-0.12062073
ENG-Premier League,2024 - 2025,Brighton,Pervis Estupiñán,ECU,26,1998,Left,LB,0.43620735,-0.1952906,0.15533102,-0.3270995,-0.44680032,0.026439087,-0.031495366,0.0012734414,0.16955641,0.13906443
ENG-Premier League,2024 - 2025,Brighton,Simon Adingra,CIV,22,2002,Right,RM,0.13420895,0.13714609,-0.20806025,0.1792815,-0.0442361,0.48824167,0.059709556,0.040915746,0.17276643,0.028917294
ENG-Premier League,2024 - 2025,Brighton,Yankuba Minteh,GAM,20,2004,Left,RM,0.4427286,-0.13815098,-0.0501714,0.1862068,0.14587785,0.34062642,-0.22435258,0.49559945,0.52176195,0.17757727
ENG-Premier League,2024 - 2025,Brighton,Yasin Ayari,SWE,20,2003,Right,CM,0.30915147,0.1311276,-0.1752365,-0.14596787,-0.26155853,0.119600326,-0.09705796,0.12532529,0.13671313,-0.08696896
ENG-Premier League,2024 - 2025,Chelsea,Christopher Nkunku,FRA,26,1997,Right,CAM,0.6042248,0.5928302,-0.23497175,0.2308897,0.21052043,0.6803599,-0.15265542,-0.38308176,-0.13405876,-0.18519333
ENG-Premier League,2024 - 2025,Chelsea,Cole Palmer,ENG,22,2002,Left,CAM,0.27705377,-0.33735985,-0.57412547,0.4245019,-0.03887765,-0.6728367,0.42519274,0.059347495,-0.18667118,0.009500456
ENG-Premier League,2024 - 2025,Chelsea,Enzo Fernández,ARG,23,2001,Right,CM,0.5417473,-0.035031557,-0.3375769,-0.17708342,-0.18672004,-0.4643359,-0.20378888,0.24943775,-0.18117921,0.24629666
ENG-Premier League,2024 - 2025,Chelsea,Jadon Sancho,ENG,24,2000,Right,LW,0.09799322,-0.22728749,0.10265453,0.12066339,0.1854904,0.28400305,-0.04140032,-0.4481982,0.2922636,0.22725745
ENG-Premier League,2024 - 2025,Chelsea,Levi Colwill,ENG,21,2003,Left,CB,-0.009164532,0.01898069,0.71040666,-0.45388094,-0.48726612,-0.29415572,-0.3300548,-0.17902954,-0.3890292,0.10886938
ENG-Premier League,2024 - 2025,Chelsea,Malo Gusto,FRA,21,2003,Right,RB,0.25652993,0.32132372,0.020738343,-0.13564405,-0.52035177,0.08217967,-0.13034262,-0.29548556,0.02335816,0.107563436
ENG-Premier League,2024 - 2025,Chelsea,Marc Cucurella,ESP,26,1998,Left,LB,0.21567495,0.13508578,0.25378445,-0.24981299,-0.43713474,-0.21698408,-0.6962219,0.03922465,0.07302294,-0.032359734
ENG-Premier League,2024 - 2025,Chelsea,Moisés Caicedo,ECU,22,2001,Right,CDM,0.5012155,0.085355684,-0.23887548,-0.7193039,-0.5587007,-0.32117483,-0.2695767,0.07443914,0.055497464,-0.01804579
ENG-Premier League,2024 - 2025,Chelsea,Nicolas Jackson,SEN,23,2001,Right,ST,0.48820066,0.52404267,-0.16021734,0.4121649,0.5082627,-0.056941543,0.08912071,0.0877403,0.13326803,-0.07893211
ENG-Premier League,2024 - 2025,Chelsea,Noni Madueke,ENG,22,2002,Left,RW,0.6621149,-0.038431097,-0.18048644,0.39967316,0.22946401,0.11239878,0.11025045,-0.24533601,0.564996,0.048726343
ENG-Premier League,2024 - 2025,Chelsea,Pedro Neto,POR,24,2000,Left,RM,4.5351684e-05,-0.35061252,-0.041417025,0.2775355,-0.0043924893,0.07661898,-0.03566321,-0.15424028,0.31321797,0.35166895
ENG-Premier League,2024 - 2025,Chelsea,Reece James,ENG,24,1999,Right,RB,-0.091509536,-0.092298284,0.19401878,-0.027717121,-0.18678692,0.5072942,0.14724174,-0.022076495,-0.41260982,-0.14301962
ENG-Premier League,2024 - 2025,Chelsea,Tosin Adarabioyo,ENG,26,1997,Right,CB,0.0562123,0.1678864,0.4936558,-0.24392316,-0.030288542,0.4314898,0.1814097,-0.27429035,-0.4673681,-0.16295378
ENG-Premier League,2024 - 2025,Chelsea,Trevoh Chalobah,ENG,25,1999,Right,CB,0.38317,0.41672814,0.36724848,-0.031502504,-0.0924303,0.68118525,0.2976718,-0.29259306,-0.37168264,-0.02871165
ENG-Premier League,2024 - 2025,Crystal Palace,Adam Wharton,ENG,20,2004,Left,CDM,0.26437408,0.1308124,-0.08186353,0.03296455,-0.46853927,0.48399505,0.10106122,0.3357608,-0.31139484,0.0042826124
ENG-Premier League,2024 - 2025,Crystal Palace,Chris Richards,USA,24,2000,Right,CB,0.21687886,0.6760311,0.43530723,-0.08669856,-0.32962856,0.30845186,-0.16566907,0.39044657,-0.07876135,-0.2027665
ENG-Premier League,2024 - 2025,Crystal Palace,Daichi Kamada,JPN,27,1996,Right,CM,0.36132205,0.2521082,-0.055103354,-0.09948304,-0.36895344,0.23814915,0.19581102,0.119887635,0.0037088895,-0.22102474
ENG-Premier League,2024 - 2025,Crystal Palace,Daniel Muñoz,COL,28,1996,Right,RB,0.749328,0.54347205,-0.00070815894,-0.22755763,-0.2068273,-0.3333496,-0.50698465,0.49089453,0.48211184,0.34030446
ENG-Premier League,2024 - 2025,Crystal Palace,Eberechi Eze,ENG,26,1998,Right,CAM,0.15409918,-0.04858618,-0.50324863,0.07230452,0.22446057,-0.29966405,0.4237041,0.15465827,0.074277274,0.12249264
ENG-Premier League,2024 - 2025,Crystal Palace,Eddie Nketiah,ENG,25,1999,Right,ST,0.6327351,0.48620936,-0.28067788,0.29734603,0.121488005,0.56508046,0.28403562,0.016955197,0.010979371,-0.3132447
ENG-Premier League,2024 - 2025,Crystal Palace,Ismaila Sarr,SEN,26,1998,Right,CAM,0.5964306,0.27618778,0.07819724,0.57423246,0.10799049,-0.19231498,0.042281106,0.32151797,0.24100512,0.21965563
ENG-Premier League,2024 - 2025,Crystal Palace,Jean-Philippe Mateta,FRA,27,1997,Right,ST,0.044961184,0.14159179,0.05688582,0.42850146,0.2177708,-0.21108618,0.12605438,0.4352684,0.04956229,-0.43857226
ENG-Premier League,2024 - 2025,Crystal Palace,Jefferson Lerma,COL,29,1994,Right,CDM,-0.13853757,0.23433068,0.22153626,-0.20565623,-0.3224497,-0.036078267,0.26286536,0.20723915,-0.0484613,-0.058411535
ENG-Premier League,2024 - 2025,Crystal Palace,Marc Guéhi,ENG,24,2000,Right,CB,-0.09764868,0.12590042,0.51164114,-0.536333,-0.15292536,-0.31631678,-0.16784148,0.2867427,-0.14574134,0.014848378
ENG-Premier League,2024 - 2025,Crystal Palace,Maxence Lacroix,FRA,24,2000,Right,CB,0.08263171,0.6507553,0.64684564,-0.45696926,-0.31924382,-0.3409074,0.24574539,0.4335445,-0.09363847,0.009069194
ENG-Premier League,2024 - 2025,Crystal Palace,Trevoh Chalobah,ENG,25,1999,Right,CB,-0.06870511,0.10703956,0.34672597,-0.10746295,0.12851495,0.6644591,-0.10888603,0.2490748,-0.22084841,-0.4359469
ENG-Premier League,2024 - 2025,Crystal Palace,Tyrick Mitchell,ENG,24,1999,Left,LB,0.39375964,0.4798593,0.23894106,-0.124208786,-0.38810593,-0.17413886,-0.17819898,0.37631172,0.37594888,0.4502966
ENG-Premier League,2024 - 2025,Crystal Palace,Will Hughes,ENG,29,1995,Left,CDM,0.16883172,0.35769185,-0.13648799,-0.18154919,-0.37751052,0.076414905,0.1283575,0.37762648,-0.074231826,0.08970723
ENG-Premier League,2024 - 2025,Everton,Abdoulaye Doucouré,MLI,31,1993,Right,CAM,0.19665092,0.34703872,0.0077024368,-0.1345356,0.03858604,-0.11759889,0.04411558,-0.014035216,0.17597722,-0.17627265
ENG-Premier League,2024 - 2025,Everton,Ashley Young,ENG,39,1985,Right,RB,-0.071728915,0.0028806846,0.012132282,-0.19240382,-0.32724792,0.31828272,-0.13905239,0.5207968,-0.124205925,0.14112093
ENG-Premier League,2024 - 2025,Everton,Beto,GNB,26,1998,Right,ST,0.622355,0.29492816,0.23371597,0.3369824,0.37625378,0.31830537,0.26007688,0.5473746,0.0815073,-0.54740834
ENG-Premier League,2024 - 2025,Everton,Dominic Calvert-Lewin,ENG,27,1997,Right,ST,0.29576412,0.563389,0.18900101,0.3710013,0.18460895,0.32682943,0.53272426,0.26869965,0.13149416,-0.25755173
ENG-Premier League,2024 - 2025,Everton,Dwight McNeil,ENG,24,1999,Left,LM,-0.08379156,-0.45448738,-0.035576023,0.099511996,0.1054652,0.5319486,0.03223576,0.26400554,-0.27141032,0.25979474
ENG-Premier League,2024 - 2025,Everton,Iliman Ndiaye,SEN,24,2000,Right,LM,-0.2202322,-0.03917385,-0.21213639,-0.2070177,0.061515592,-0.108972825,-0.14131765,-0.00042151473,0.4303503,-0.5448973
ENG-Premier League,2024 - 2025,Everton,Jack Harrison,ENG,27,1996,Left,RM,0.40820286,0.118226506,0.071212195,0.21385859,-0.37835175,0.094986975,0.27630427,0.23693192,0.447426,-0.06964277
ENG-Premier League,2024 - 2025,Everton,Jake O'Brien,IRL,23,2001,Right,CB,0.1870859,0.15491827,0.55681056,-0.0024667033,-0.00842986,0.47644863,-0.16914752,0.22746842,-0.19950728,-0.29035032
ENG-Premier League,2024 - 2025,Everton,James Garner,ENG,23,2001,Right,CDM,0.2740164,0.32002667,0.088942096,-0.12487686,-0.35999432,0.36213088,0.15727316,0.29440486,-0.08563259,-0.044286218
ENG-Premier League,2024 - 2025,Everton,James Tarkowski,ENG,31,1992,Right,CB,-0.05256077,0.416237,0.6582513,-0.39749038,-0.24311464,-0.31088963,0.13705689,0.54545105,-0.13133949,-0.048793215
ENG-Premier League,2024 - 2025,Everton,Jarrad Branthwaite,ENG,22,2002,Left,CB,-0.083277516,0.43332532,0.6636747,-0.24730729,-0.266344,-0.019437324,0.3079548,0.007664426,-0.19220167,0.06061744
ENG-Premier League,2024 - 2025,Everton,Jesper Lindstrøm,DEN,24,2000,Right,RM,0.26622567,0.39734682,-0.24125355,0.11663648,-0.29290345,0.45193362,0.2442528,0.40963343,0.15666954,-0.090090014
ENG-Premier League,2024 - 2025,Everton,Michael Keane,ENG,31,1993,Right,CB,-0.29968807,0.3928937,0.3892656,0.19809671,-0.08685487,0.6843211,-0.42274877,0.3815321,-0.50533396,-0.4607687
