target_player,target_season,model_used,rank,player,age,team,macro_pos,league,season,Match %
Riccardo Orsolini,2024 - 2025,PCA,5,Alexander Isak,23,Newcastle Utd,ST,ENG-Premier League,2023 - 2024,84.9%
Riccardo Orsolini,2024 - 2025,ReLU + Dropout,1,Elye Wahi,19,Montpellier,ST,FRA-Ligue 1,2022 - 2023,96.0%
Riccardo Orsolini,2024 - 2025,ReLU + Dropout,2,Georges Mikautadze,22,Metz,ST,FRA-Ligue 1,2023 - 2024,96.0%
Riccardo Orsolini,2024 - 2025,ReLU + Dropout,3,Nick Woltemade,22,Stuttgart,ST,GER-Bundesliga,2024 - 2025,95.2%
Riccardo Orsolini,2024 - 2025,ReLU + Dropout,4,Adam Hložek,22,Hoffenheim,ST,GER-Bundesliga,2024 - 2025,94.8%
Riccardo Orsolini,2024 - 2025,ReLU + Dropout,5,Victor Osimhen,23,Napoli,ST,ITA-Serie A,2022 - 2023,94.4%
Riccardo Orsolini,2024 - 2025,Relu,1,Georges Mikautadze,22,Metz,ST,FRA-Ligue 1,2023 - 2024,94.6%
Riccardo Orsolini,2024 - 2025,Relu,2,Fábio Silva,22,Las Palmas,ST,ESP-La Liga,2024 - 2025,94.2%
Riccardo Orsolini,2024 - 2025,Relu,3,Erling Haaland,22,Manchester City,ST,ENG-Premier League,2022 - 2023,93.4%
Riccardo Orsolini,2024 - 2025,Relu,4,Nick Woltemade,22,Stuttgart,ST,GER-Bundesliga,2024 - 2025,93.2%
Riccardo Orsolini,2024 - 2025,Relu,5,Benjamin Šeško,21,RB Leipzig,ST,GER-Bundesliga,2024 - 2025,93.1%
Riccardo Orsolini,2024 - 2025,Tanh,1,Terem Moffi,23,Lorient,ST,FRA-Ligue 1,2022 - 2023,80.5%
Riccardo Orsolini,2024 - 2025,Tanh,2,Benjamin Šeško,20,RB Leipzig,ST,GER-Bundesliga,2023 - 2024,79.5%
Riccardo Orsolini,2024 - 2025,Tanh,3,Cyril Ngonge,23,Hellas Verona,Wide Midfielder,ITA-Serie A,2023 - 2024,78.6%
Riccardo Orsolini,2024 - 2025,Tanh,4,Dušan Vlahović,22,Juventus,ST,ITA-Serie A,2022 - 2023,77.8%
Riccardo Orsolini,2024 - 2025,Tanh,5,Frank Magri,23,Toulouse,ST,FRA-Ligue 1,2023 - 2024,77.3%
Riccardo Orsolini,2024 - 2025,Tanh + Dropout,1,Michael Olise,21,Crystal Palace,Wide Midfielder,ENG-Premier League,2023 - 2024,81.9%
Riccardo Orsolini,2024 - 2025,Tanh + Dropout,2,Cyril Ngonge,23,Hellas Verona,Wide Midfielder,ITA-Serie A,2023 - 2024,73.9%
Riccardo Orsolini,2024 - 2025,Tanh + Dropout,3,Dušan Vlahović,22,Juventus,ST,ITA-Serie A,2022 - 2023,71.5%
Riccardo Orsolini,2024 - 2025,Tanh + Dropout,4,Khvicha Kvaratskhelia,23,Napoli,Winger,ITA-Serie A,2024 - 2025,69.5%
Riccardo Orsolini,2024 - 2025,Tanh + Dropout,5,Terem Moffi,23,Lorient,ST,FRA-Ligue 1,2022 - 2023,69.0%
Xavi Simons,2024 - 2025,Ensemble,1,Jamal Musiala,19,Bayern Munich,CAM,GER-Bundesliga,2022 - 2023,87.6%
Xavi Simons,2024 - 2025,Ensemble,2,Phil Foden,22,Manchester City,Winger,ENG-Premier League,2022 - 2023,86.9%
Xavi Simons,2024 - 2025,Ensemble,3,Kenan Yıldız,19,Juventus,CAM,ITA-Serie A,2024 - 2025,86.5%
Xavi Simons,2024 - 2025,Ensemble,4,Rayan Cherki,20,Lyon,Winger,FRA-Ligue 1,2024 - 2025,85.8%
Xavi Simons,2024 - 2025,Ensemble,5,Paul Nebel,21,Mainz 05,CAM,GER-Bundesliga,2024 - 2025,85.7%
Xavi Simons,2024 - 2025,PCA,1,Phil Foden,23,Manchester City,Winger,ENG-Premier League,2023 - 2024,91.0%
Xavi Simons,2024 - 2025,PCA,2,Gabriel Martinelli,21,Arsenal,Winger,ENG-Premier League,2022 - 2023,87.8%
Xavi Simons,2024 - 2025,PCA,3,Jamal Musiala,19,Bayern Munich,CAM,GER-Bundesliga,2022 - 2023,87.1%
Xavi Simons,2024 - 2025,PCA,4,Rayan Cherki,20,Lyon,Winger,FRA-Ligue 1,2024 - 2025,86.4%
Xavi Simons,2024 - 2025,PCA,5,Martin Ødegaard,23,Arsenal,CM,ENG-Premier League,2022 - 2023,86.2%
Xavi Simons,2024 - 2025,ReLU + Dropout,1,Phil Foden,23,Manchester City,Winger,ENG-Premier League,2023 - 2024,98.1%
Xavi Simons,2024 - 2025,ReLU + Dropout,2,Martin Ødegaard,23,Arsenal,CM,ENG-Premier League,2022 - 2023,96.2%
Xavi Simons,2024 - 2025,ReLU + Dropout,3,Phil Foden,22,Manchester City,Winger,ENG-Premier League,2022 - 2023,96.1%
Xavi Simons,2024 - 2025,ReLU + Dropout,4,Rayan Cherki,20,Lyon,Winger,FRA-Ligue 1,2024 - 2025,95.3%
Xavi Simons,2024 - 2025,ReLU + Dropout,5,Paul Nebel,21,Mainz 05,CAM,GER-Bundesliga,2024 - 2025,94.5%
Xavi Simons,2024 - 2025,Relu,1,Paul Nebel,21,Mainz 05,CAM,GER-Bundesliga,2024 - 2025,95.0%
Xavi Simons,2024 - 2025,Relu,2,Matìas Soulé,21,Roma,CAM,ITA-Serie A,2024 - 2025,94.9%
