league,season,team,player,nation,age,born,preferred_foot,pos,cluster,Dominant_Role_in_Cluster
ENG-Premier League,2022 - 2023,Manchester Utd,Marcus Rashford,ENG,24,1997,Right,LM,11,ST
ENG-Premier League,2022 - 2023,Manchester Utd,Scott McTominay,SCO,25,1996,Right,CM,8,CB
ENG-Premier League,2022 - 2023,Manchester Utd,Tyrell Malacia,NED,22,1999,Left,LB,1,CDM
ENG-Premier League,2022 - 2023,Newcastle Utd,Alexander Isak,SWE,22,1999,Right,ST,17,ST
ENG-Premier League,2022 - 2023,Newcastle Utd,Bruno Guimarães,BRA,24,1997,Right,CM,7,CM
ENG-Premier League,2022 - 2023,Newcastle Utd,Callum Wilson,ENG,30,1992,Right,ST,17,ST
ENG-Premier League,2022 - 2023,Newcastle Utd,Dan Burn,ENG,30,1992,Left,CB,4,CB
ENG-Premier League,2022 - 2023,Newcastle Utd,Fabian Schär,SUI,30,1991,Right,CB,15,CB
ENG-Premier League,2022 - 2023,Newcastle Utd,Jacob Murphy,ENG,27,1995,Right,RW,16,RM
ENG-Premier League,2022 - 2023,Newcastle Utd,Joe Willock,ENG,22,1999,Right,CM,9,CAM
ENG-Premier League,2022 - 2023,Newcastle Utd,Joelinton,BRA,25,1996,Right,CM,2,CDM
ENG-Premier League,2022 - 2023,Newcastle Utd,Kieran Trippier,ENG,31,1990,Right,RB,7,CM
ENG-Premier League,2022 - 2023,Newcastle Utd,Miguel Almirón,PAR,28,1994,Left,RW,11,ST
ENG-Premier League,2022 - 2023,Newcastle Utd,Sean Longstaff,ENG,24,1997,Right,CM,2,CDM
ENG-Premier League,2022 - 2023,Newcastle Utd,Sven Botman,NED,22,2000,Left,CB,4,CB
ENG-Premier League,2022 - 2023,Nott'ham Forest,Brennan Johnson,WAL,21,2001,Right,RW,17,ST
ENG-Premier League,2022 - 2023,Nott'ham Forest,Danilo,BRA,21,2001,Right,ST,12,ST
ENG-Premier League,2022 - 2023,Nott'ham Forest,Harry Toffolo,ENG,26,1995,Left,LB,14,CM
ENG-Premier League,2022 - 2023,Nott'ham Forest,Jesse Lingard,ENG,29,1992,Right,CAM,14,CM
ENG-Premier League,2022 - 2023,Nott'ham Forest,Joe Worrall,ENG,25,1997,Right,CB,4,CB
ENG-Premier League,2022 - 2023,Nott'ham Forest,Morgan Gibbs-White,ENG,22,2000,Right,CAM,9,CAM
ENG-Premier League,2022 - 2023,Nott'ham Forest,Moussa Niakhate,SEN,26,1996,Left,CB,8,CB
ENG-Premier League,2022 - 2023,Nott'ham Forest,Neco Williams,WAL,21,2001,Right,LB,18,LB
ENG-Premier League,2022 - 2023,Nott'ham Forest,Orel Mangala,BEL,24,1998,Right,CDM,14,CM
ENG-Premier League,2022 - 2023,Nott'ham Forest,Remo Freuler,SUI,30,1992,Right,CDM,1,CDM
ENG-Premier League,2022 - 2023,Nott'ham Forest,Ryan Yates,ENG,24,1997,Right,CDM,14,CM
ENG-Premier League,2022 - 2023,Nott'ham Forest,Taiwo Awoniyi,NGA,24,1997,Right,ST,3,ST
ENG-Premier League,2022 - 2023,Southampton,Adam Armstrong,ENG,25,1997,Right,ST,12,ST
ENG-Premier League,2022 - 2023,Southampton,Ainsley Maitland-Niles,ENG,24,1997,Right,RB,1,CDM
ENG-Premier League,2022 - 2023,Southampton,Carlos Alcaraz,ARG,19,2002,Right,CAM,12,ST
ENG-Premier League,2022 - 2023,Southampton,Che Adams,SCO,26,1996,Right,ST,3,ST
ENG-Premier League,2022 - 2023,Southampton,Duje Ćaleta-Car,CRO,25,1996,Right,CB,10,CB
ENG-Premier League,2022 - 2023,Southampton,James Ward-Prowse,ENG,27,1994,Right,CM,7,CM
ENG-Premier League,2022 - 2023,Southampton,Joe Aribo,NGA,26,1996,Left,CM,12,ST
ENG-Premier League,2022 - 2023,Southampton,Kamaldeen Sulemana,GHA,20,2002,Right,LM,12,ST
ENG-Premier League,2022 - 2023,Southampton,Kyle Walker-Peters,ENG,25,1997,Right,RB,13,LB
ENG-Premier League,2022 - 2023,Southampton,Mohamed Elyounoussi,NOR,27,1994,Right,RM,6,RM
ENG-Premier League,2022 - 2023,Southampton,Mohammed Salisu,GHA,23,1999,Left,CB,4,CB
ENG-Premier League,2022 - 2023,Southampton,Romain Perraud,FRA,24,1997,Left,LB,18,LB
ENG-Premier League,2022 - 2023,Southampton,Roméo Lavia,BEL,18,2004,Right,CDM,2,CDM
ENG-Premier League,2022 - 2023,Tottenham,Ben Davies,WAL,29,1993,Left,CB,15,CB
ENG-Premier League,2022 - 2023,Tottenham,Clément Lenglet,FRA,27,1995,Left,CB,15,CB
ENG-Premier League,2022 - 2023,Tottenham,Cristian Romero,ARG,24,1998,Right,CB,4,CB
ENG-Premier League,2022 - 2023,Tottenham,Dejan Kulusevski,SWE,22,2000,Left,CM,0,RM
ENG-Premier League,2022 - 2023,Tottenham,Emerson,BRA,23,1999,Left,LB,18,LB
ENG-Premier League,2022 - 2023,Tottenham,Eric Dier,ENG,28,1994,Right,CB,15,CB
ENG-Premier League,2022 - 2023,Tottenham,Harry Kane,ENG,29,1993,Right,ST,11,ST
ENG-Premier League,2022 - 2023,Tottenham,Ivan Perišić,CRO,33,1989,Right,RW,9,CAM
ENG-Premier League,2022 - 2023,Tottenham,Oliver Skipp,ENG,21,2000,Right,CDM,1,CDM
ENG-Premier League,2022 - 2023,Tottenham,Pedro Porro,ESP,22,1999,Right,RB,16,RM
ENG-Premier League,2022 - 2023,Tottenham,Richarlison,BRA,25,1997,Right,ST,12,ST
ENG-Premier League,2022 - 2023,Tottenham,Rodrigo Bentancur,URU,25,1997,Right,CDM,19,CM
ENG-Premier League,2022 - 2023,West Ham,Aaron Cresswell,ENG,32,1989,Left,CB,18,LB
ENG-Premier League,2022 - 2023,West Ham,Declan Rice,ENG,23,1999,Right,CDM,7,CM
ENG-Premier League,2022 - 2023,West Ham,Gianluca Scamacca,ITA,23,1999,Right,ST,12,ST
ENG-Premier League,2022 - 2023,West Ham,Jarrod Bowen,ENG,25,1996,Left,RM,0,RM
ENG-Premier League,2022 - 2023,West Ham,Lucas Paquetá,BRA,24,1997,Left,CM,2,CDM
ENG-Premier League,2022 - 2023,West Ham,Nayef Aguerd,MAR,26,1996,Left,CB,10,CB
ENG-Premier League,2022 - 2023,West Ham,Pablo Fornals,ESP,26,1996,Right,CDM,12,ST
ENG-Premier League,2022 - 2023,West Ham,Saïd Benrahma,ALG,26,1995,Right,LW,0,RM
ENG-Premier League,2022 - 2023,West Ham,Thilo Kehrer,GER,25,1996,Right,CB,10,CB
ENG-Premier League,2022 - 2023,West Ham,Tomáš Souček,CZE,27,1995,Right,CDM,2,CDM
ENG-Premier League,2022 - 2023,Wolves,Adama Traoré,ESP,26,1996,Right,RM,16,RM
ENG-Premier League,2022 - 2023,Wolves,Daniel Podence,POR,26,1995,Right,RW,16,RM
ENG-Premier League,2022 - 2023,Wolves,Hugo Bueno,ESP,19,2002,Left,LB,14,CM
ENG-Premier League,2022 - 2023,Wolves,João Moutinho,POR,35,1986,Right,CM,1,CDM
ENG-Premier League,2022 - 2023,Wolves,Mario Lemina,GAB,28,1993,Right,CDM,1,CDM
ENG-Premier League,2022 - 2023,Wolves,Matheus Cunha,BRA,23,1999,Right,CAM,12,ST
ENG-Premier League,2022 - 2023,Wolves,Matheus Nunes,POR,23,1998,Right,RB,13,LB
ENG-Premier League,2022 - 2023,Wolves,Pedro Neto,POR,22,2000,Left,RM,6,RM
ENG-Premier League,2022 - 2023,Wolves,Rayan Aït-Nouri,ALG,21,2001,Left,LB,14,CM
ENG-Premier League,2022 - 2023,Wolves,Rúben Neves,POR,25,1997,Right,CDM,2,CDM
ESP-La Liga,2022 - 2023,Almería,Chumi,ESP,23,1999,Right,CB,8,CB
ESP-La Liga,2022 - 2023,Almería,El Bilal Touré,MLI,20,2001,Right,ST,3,ST
ESP-La Liga,2022 - 2023,Almería,Largie Ramazani,BEL,21,2001,Right,LM,12,ST
ESP-La Liga,2022 - 2023,Almería,Lucas Robertone,ARG,25,1997,Right,CM,13,LB
ESP-La Liga,2022 - 2023,Almería,Luis Javier Suárez,COL,24,1997,Right,ST,3,ST
ESP-La Liga,2022 - 2023,Almería,Léo Baptistão,BRA,29,1992,Right,RM,3,ST
ESP-La Liga,2022 - 2023,Almería,Samu Costa,POR,21,2000,Left,CDM,2,CDM
ESP-La Liga,2022 - 2023,Almería,Álex Centelles,ESP,24,1997,Left,LB,8,CB
ESP-La Liga,2022 - 2023,Athletic Club,Iñaki Williams,GHA,28,1994,Right,RM,0,RM
ESP-La Liga,2022 - 2023,Athletic Club,Nico Williams,ESP,20,2002,Right,LM,0,RM
ESP-La Liga,2022 - 2023,Athletic Club,Raúl García,ESP,36,1986,Right,ST,3,ST
ESP-La Liga,2022 - 2023,Athletic Club,Yuri Berchiche,ESP,32,1990,Left,LB,5,CDM
ESP-La Liga,2022 - 2023,Athletic Club,Álex Berenguer,ESP,27,1995,Right,LM,0,RM
ESP-La Liga,2022 - 2023,Atlético Madrid,Antoine Griezmann,FRA,31,1991,Left,ST,9,CAM
ESP-La Liga,2022 - 2023,Atlético Madrid,José María Giménez,URU,27,1995,Right,CB,4,CB
ESP-La Liga,2022 - 2023,Atlético Madrid,Koke,ESP,30,1992,Right,CM,5,CDM
ESP-La Liga,2022 - 2023,Atlético Madrid,Marcos Llorente,ESP,27,1995,Right,RB,6,RM
ESP-La Liga,2022 - 2023,Atlético Madrid,Mario Hermoso,ESP,27,1995,Left,CB,15,CB
ESP-La Liga,2022 - 2023,Atlético Madrid,Nahuel Molina,ARG,24,1998,Right,RB,13,LB
ESP-La Liga,2022 - 2023,Atlético Madrid,Rodrigo De Paul,ARG,28,1994,Right,CM,7,CM
ESP-La Liga,2022 - 2023,Atlético Madrid,Stefan Savić,MNE,31,1991,Right,CB,10,CB
ESP-La Liga,2022 - 2023,Atlético Madrid,Thomas Lemar,FRA,26,1995,Left,CM,19,CM
ESP-La Liga,2022 - 2023,Atlético Madrid,Yannick Carrasco,BEL,28,1993,Right,LW,0,RM
ESP-La Liga,2022 - 2023,Barcelona,Andreas Christensen,DEN,26,1996,Right,CB,15,CB
ESP-La Liga,2022 - 2023,Barcelona,Ansu Fati,ESP,19,2002,Right,LM,17,ST
ESP-La Liga,2022 - 2023,Barcelona,Eric García,ESP,21,2001,Right,CB,15,CB
ESP-La Liga,2022 - 2023,Barcelona,Ferrán Torres,ESP,22,2000,Right,LW,16,RM
ESP-La Liga,2022 - 2023,Barcelona,Frenkie de Jong,NED,25,1997,Right,CM,7,CM
ESP-La Liga,2022 - 2023,Barcelona,Gavi,ESP,17,2004,Right,CM,13,LB
ESP-La Liga,2022 - 2023,Barcelona,Jordi Alba,ESP,33,1989,Left,LB,7,CM
ESP-La Liga,2022 - 2023,Barcelona,Jules Koundé,FRA,23,1998,Right,RB,15,CB
ESP-La Liga,2022 - 2023,Barcelona,Marcos Alonso,ESP,31,1990,Left,CB,10,CB
ESP-La Liga,2022 - 2023,Barcelona,Ousmane Dembélé,FRA,25,1997,Left,ST,0,RM
ESP-La Liga,2022 - 2023,Barcelona,Pedri,ESP,19,2002,Right,CM,7,CM
ESP-La Liga,2022 - 2023,Barcelona,Raphinha,BRA,25,1996,Left,LM,9,CAM
ESP-La Liga,2022 - 2023,Barcelona,Robert Lewandowski,POL,33,1988,Right,ST,17,ST
ESP-La Liga,2022 - 2023,Barcelona,Ronald Araújo,URU,23,1999,Right,CB,10,CB
ESP-La Liga,2022 - 2023,Barcelona,Sergi Roberto,ESP,30,1992,Right,CDM,19,CM
ESP-La Liga,2022 - 2023,Barcelona,Sergio Busquets,ESP,34,1988,Right,CDM,5,CDM
ESP-La Liga,2022 - 2023,Betis,Aitor Ruibal,ESP,26,1996,Right,RB,18,LB
ESP-La Liga,2022 - 2023,Betis,Borja Iglesias,ESP,29,1993,Right,ST,17,ST
ESP-La Liga,2022 - 2023,Betis,Guido Rodríguez,ARG,28,1994,Right,CDM,2,CDM
ESP-La Liga,2022 - 2023,Betis,Juan Miranda,ESP,22,2000,Left,LB,12,ST
ESP-La Liga,2022 - 2023,Betis,Juanmi,ESP,29,1993,Right,ST,3,ST
ESP-La Liga,2022 - 2023,Betis,Luiz Felipe,ITA,25,1997,Right,CB,10,CB
ESP-La Liga,2022 - 2023,Betis,Rodri,ESP,22,2000,Right,CDM,16,RM
ESP-La Liga,2022 - 2023,Betis,Álex Moreno,ESP,29,1993,Left,LB,14,CM
ESP-La Liga,2022 - 2023,Celta Vigo,Fran Beltrán,ESP,23,1999,Right,CM,5,CDM
ESP-La Liga,2022 - 2023,Celta Vigo,Franco Cervi,ARG,28,1994,Left,LM,2,CDM
ESP-La Liga,2022 - 2023,Celta Vigo,Iago Aspas,ESP,34,1987,Left,RW,11,ST
ESP-La Liga,2022 - 2023,Celta Vigo,Javi Galán,ESP,27,1994,Left,LB,13,LB
ESP-La Liga,2022 - 2023,Celta Vigo,Joseph Aidoo,GHA,26,1995,Right,CB,15,CB
ESP-La Liga,2022 - 2023,Celta Vigo,Jørgen Strand Larsen,NOR,22,2000,Right,ST,3,ST
ESP-La Liga,2022 - 2023,Celta Vigo,Luca de la Torre,USA,24,1998,Right,CM,14,CM
ESP-La Liga,2022 - 2023,Celta Vigo,Unai Núñez,ESP,25,1997,Right,CB,15,CB
ESP-La Liga,2022 - 2023,Cádiz,Alfonso Espino,URU,30,1992,Left,LB,13,LB
ESP-La Liga,2022 - 2023,Cádiz,Brian Ocampo,URU,23,1999,Right,LM,12,ST
ESP-La Liga,2022 - 2023,Cádiz,Iván Alejo,ESP,27,1995,Right,RM,6,RM
ESP-La Liga,2022 - 2023,Cádiz,Luis Hernández,ESP,33,1989,Right,CB,4,CB
ESP-La Liga,2022 - 2023,Cádiz,Sergi Guardiola,ESP,31,1991,Left,ST,12,ST
ESP-La Liga,2022 - 2023,Cádiz,Víctor Chust,ESP,22,2000,Right,CB,8,CB
ESP-La Liga,2022 - 2023,Cádiz,Álex Fernández,ESP,29,1992,Right,CM,14,CM
ESP-La Liga,2022 - 2023,Elche,Enzo Roco,CHI,29,1992,Right,CB,10,CB
ESP-La Liga,2022 - 2023,Elche,Ezequiel Ponce,ARG,25,1997,Right,ST,12,ST
ESP-La Liga,2022 - 2023,Elche,Josan,ESP,32,1989,Right,RM,14,CM
ESP-La Liga,2022 - 2023,Elche,Lisandro Magallán,ARG,28,1993,Right,CB,10,CB
ESP-La Liga,2022 - 2023,Elche,Lucas Boyé,ARG,26,1996,Right,ST,0,RM
ESP-La Liga,2022 - 2023,Elche,Omar Mascarell,EQG,29,1993,Right,CM,5,CDM
ESP-La Liga,2022 - 2023,Elche,Pere Milla,ESP,29,1992,Left,ST,12,ST
ESP-La Liga,2022 - 2023,Elche,Raúl Guti,ESP,25,1996,Right,CM,14,CM
ESP-La Liga,2022 - 2023,Elche,Tete Morente,ESP,25,1996,Right,LM,6,RM
ESP-La Liga,2022 - 2023,Espanyol,Denis Suárez,ESP,28,1994,Right,CM,14,CM
ESP-La Liga,2022 - 2023,Espanyol,Edu Expósito,ESP,25,1996,Right,CAM,14,CM
ESP-La Liga,2022 - 2023,Espanyol,Leandro Cabrera,URU,31,1991,Left,CB,4,CB
ESP-La Liga,2022 - 2023,Espanyol,Sergi Darder,ESP,28,1993,Right,LM,7,CM
ESP-La Liga,2022 - 2023,Espanyol,Vinicius Souza,BRA,23,1999,Right,CDM,2,CDM
ESP-La Liga,2022 - 2023,Espanyol,Óscar Gil,ESP,25,1997,Right,RB,2,CDM
ESP-La Liga,2022 - 2023,Getafe,Borja Mayoral,ESP,25,1997,Right,ST,17,ST
ESP-La Liga,2022 - 2023,Getafe,Damián Suárez,URU,34,1988,Right,RB,18,LB
ESP-La Liga,2022 - 2023,Getafe,Domingos Duarte,POR,27,1995,Right,CB,10,CB
ESP-La Liga,2022 - 2023,Getafe,Enes Ünal,TUR,25,1997,Right,ST,17,ST
ESP-La Liga,2022 - 2023,Getafe,Gastón Álvarez,URU,22,2000,Left,CB,8,CB
ESP-La Liga,2022 - 2023,Getafe,Luis Milla,ESP,27,1994,Right,CM,1,CDM
ESP-La Liga,2022 - 2023,Getafe,Omar Alderete,PAR,25,1996,Left,CB,10,CB
ESP-La Liga,2022 - 2023,Getafe,Portu,ESP,30,1992,Right,RM,6,RM
ESP-La Liga,2022 - 2023,Girona,Aleix García,ESP,25,1997,Right,CM,7,CM
ESP-La Liga,2022 - 2023,Girona,Arnau Martinez,ESP,19,2003,Right,RB,13,LB
ESP-La Liga,2022 - 2023,Girona,Cristhian Stuani,URU,35,1986,Right,ST,3,ST
ESP-La Liga,2022 - 2023,Girona,David López,ESP,32,1989,Right,CB,10,CB
ESP-La Liga,2022 - 2023,Girona,Iván Martín,ESP,23,1999,Left,CM,16,RM
ESP-La Liga,2022 - 2023,Girona,Javi Hernández,ESP,24,1998,Left,RM,14,CM
ESP-La Liga,2022 - 2023,Girona,Juanpe,ESP,31,1991,Right,CM,10,CB
ESP-La Liga,2022 - 2023,Girona,Miguel Gutiérrez,ESP,21,2001,Left,LB,13,LB
ESP-La Liga,2022 - 2023,Girona,Santiago Bueno,URU,23,1998,Right,CB,15,CB
ESP-La Liga,2022 - 2023,Girona,Valentín Castellanos,ARG,23,1998,Right,ST,17,ST
ESP-La Liga,2022 - 2023,Girona,Yan Couto,BRA,20,2002,Right,RB,19,CM
ESP-La Liga,2022 - 2023,Girona,Yangel Herrera,VEN,24,1998,Right,CM,12,ST
ESP-La Liga,2022 - 2023,Mallorca,Antonio Sánchez,ESP,25,1997,Right,RM,14,CM
ESP-La Liga,2022 - 2023,Mallorca,Copete,ESP,22,1999,Left,CB,4,CB
ESP-La Liga,2022 - 2023,Mallorca,Dani Rodríguez,ESP,34,1988,Right,CAM,16,RM
ESP-La Liga,2022 - 2023,Mallorca,Iddrisu Baba,GHA,26,1996,Right,CDM,1,CDM
ESP-La Liga,2022 - 2023,Mallorca,Martin Valjent,SVK,26,1995,Right,CB,4,CB
ESP-La Liga,2022 - 2023,Mallorca,Pablo Maffeo,ESP,25,1997,Right,RB,13,LB
ESP-La Liga,2022 - 2023,Mallorca,Vedat Muriqi,KVX,28,1994,Left,ST,17,ST
ESP-La Liga,2022 - 2023,Osasuna,Aimar Oroz,ESP,20,2001,Right,CM,16,RM
ESP-La Liga,2022 - 2023,Osasuna,Ante Budimir,CRO,31,1991,Left,ST,3,ST
ESP-La Liga,2022 - 2023,Osasuna,Ezequiel Ávila,ARG,28,1994,Right,RM,3,ST
ESP-La Liga,2022 - 2023,Osasuna,Kike Barja,ESP,25,1997,Right,RM,16,RM
ESP-La Liga,2022 - 2023,Osasuna,Lucas Torró,ESP,28,1994,Right,CDM,1,CDM
ESP-La Liga,2022 - 2023,Osasuna,Manu Sánchez,ESP,21,2000,Left,LB,18,LB
ESP-La Liga,2022 - 2023,Osasuna,Moi Gómez,ESP,28,1994,Right,CM,7,CM
ESP-La Liga,2022 - 2023,Osasuna,Nacho Vidal,ESP,27,1995,Right,RB,14,CM
ESP-La Liga,2022 - 2023,Osasuna,Pablo Ibáñez,ESP,23,1998,Right,CM,14,CM
ESP-La Liga,2022 - 2023,Osasuna,Rubén García,ESP,29,1993,Left,RM,12,ST
ESP-La Liga,2022 - 2023,Osasuna,Rubén Peña,ESP,31,1991,Right,RB,14,CM
ESP-La Liga,2022 - 2023,Rayo Vallecano,Abdul Mumin,GHA,24,1998,Right,CB,14,CM
ESP-La Liga,2022 - 2023,Rayo Vallecano,Catena,ESP,27,1994,Right,CB,15,CB
ESP-La Liga,2022 - 2023,Rayo Vallecano,Florian Lejeune,FRA,31,1991,Right,CB,4,CB
ESP-La Liga,2022 - 2023,Rayo Vallecano,Fran Garcia,ESP,22,1999,Left,LB,13,LB
ESP-La Liga,2022 - 2023,Rayo Vallecano,Iván Balliu,ALB,30,1992,Right,RB,18,LB
ESP-La Liga,2022 - 2023,Rayo Vallecano,Pathé Ciss,SEN,28,1994,Right,CDM,1,CDM
ESP-La Liga,2022 - 2023,Rayo Vallecano,Santi Comesaña,ESP,25,1996,Right,CM,2,CDM
ESP-La Liga,2022 - 2023,Rayo Vallecano,Sergio Camello,ESP,21,2001,Right,ST,17,ST
ESP-La Liga,2022 - 2023,Rayo Vallecano,Unai López,ESP,26,1995,Right,CM,14,CM
ESP-La Liga,2022 - 2023,Rayo Vallecano,Álvaro García,ESP,29,1992,Left,LM,0,RM
ESP-La Liga,2022 - 2023,Rayo Vallecano,Óscar Trejo,ARG,34,1988,Right,CAM,0,RM
ESP-La Liga,2022 - 2023,Rayo Vallecano,Óscar Valentín,ESP,27,1994,Right,CDM,2,CDM
ESP-La Liga,2022 - 2023,Real Madrid,Antonio Rüdiger,GER,29,1993,Right,CB,15,CB
ESP-La Liga,2022 - 2023,Real Madrid,Aurélien Tchouaméni,FRA,22,2000,Right,CDM,5,CDM
ESP-La Liga,2022 - 2023,Real Madrid,Dani Ceballos,ESP,25,1996,Right,CM,7,CM
ESP-La Liga,2022 - 2023,Real Madrid,David Alaba,AUT,30,1992,Left,CB,10,CB
ESP-La Liga,2022 - 2023,Real Madrid,Eduardo Camavinga,FRA,19,2002,Left,CM,5,CDM
ESP-La Liga,2022 - 2023,Real Madrid,Federico Valverde,URU,24,1998,Right,CM,7,CM
ESP-La Liga,2022 - 2023,Real Madrid,Karim Benzema,FRA,34,1987,Right,ST,11,ST
ESP-La Liga,2022 - 2023,Real Madrid,Luka Modrić,CRO,36,1985,Right,CM,7,CM
ESP-La Liga,2022 - 2023,Real Madrid,Marco Asensio,ESP,26,1996,Left,RW,11,ST
ESP-La Liga,2022 - 2023,Real Madrid,Rodrygo,BRA,21,2001,Right,RW,0,RM
ESP-La Liga,2022 - 2023,Real Madrid,Éder Militão,BRA,24,1998,Right,CB,15,CB
ESP-La Liga,2022 - 2023,Real Sociedad,Aihen Muñoz,ESP,24,1997,Left,LB,18,LB
ESP-La Liga,2022 - 2023,Real Sociedad,Alexander Sørloth,NOR,26,1995,Left,ST,17,ST
ESP-La Liga,2022 - 2023,Real Sociedad,Brais Méndez,ESP,25,1997,Left,CM,9,CAM
ESP-La Liga,2022 - 2023,Real Sociedad,Diego Rico,ESP,29,1993,Left,LB,18,LB
ESP-La Liga,2022 - 2023,Real Sociedad,Mikel Merino,ESP,26,1996,Left,CM,13,LB
ESP-La Liga,2022 - 2023,Real Sociedad,Robin Le Normand,ESP,25,1996,Right,CB,15,CB
ESP-La Liga,2022 - 2023,Real Sociedad,Takefusa Kubo,JPN,21,2001,Left,RM,0,RM
ESP-La Liga,2022 - 2023,Sevilla,Bryan Gil,ESP,21,2001,Left,LM,12,ST
ESP-La Liga,2022 - 2023,Sevilla,Gonzalo Montiel,ARG,25,1997,Right,RB,14,CM
ESP-La Liga,2022 - 2023,Sevilla,Joan Jordán,ESP,28,1994,Right,CM,1,CDM
ESP-La Liga,2022 - 2023,Sevilla,Loïc Bade,FRA,22,2000,Right,CB,10,CB
ESP-La Liga,2022 - 2023,Sevilla,Marcos Acuña,ARG,30,1991,Left,LB,13,LB
ESP-La Liga,2022 - 2023,Sevilla,Nemanja Gudelj,SRB,30,1991,Right,CB,15,CB
ESP-La Liga,2022 - 2023,Sevilla,Pape Gueye,SEN,23,1999,Left,CM,1,CDM
ESP-La Liga,2022 - 2023,Sevilla,Rafa Mir,ESP,25,1997,Right,ST,3,ST
ESP-La Liga,2022 - 2023,Sevilla,Suso,ESP,28,1993,Left,RM,16,RM
ESP-La Liga,2022 - 2023,Sevilla,Tanguy Nianzou,FRA,20,2002,Right,CB,10,CB
ESP-La Liga,2022 - 2023,Sevilla,Youssef En-Nesyri,MAR,25,1997,Left,ST,3,ST
ESP-La Liga,2022 - 2023,Valencia,Cenk Özkacar,TUR,21,2000,Left,CB,10,CB
ESP-La Liga,2022 - 2023,Valencia,Edinson Cavani,URU,35,1987,Right,ST,3,ST
ESP-La Liga,2022 - 2023,Valencia,Eray Cömert,SUI,24,1998,Right,CB,10,CB
ESP-La Liga,2022 - 2023,Valencia,Hugo Duro,ESP,22,1999,Left,ST,12,ST
ESP-La Liga,2022 - 2023,Valencia,Hugo Guillamón,ESP,22,2000,Right,CM,14,CM
ESP-La Liga,2022 - 2023,Valencia,Ilaix Moriba,GUI,19,2003,Right,CM,14,CM
ESP-La Liga,2022 - 2023,Valencia,Justin Kluivert,NED,23,1999,Right,CAM,3,ST
ESP-La Liga,2022 - 2023,Valencia,Mouctar Diakhaby,GUI,25,1996,Right,CB,4,CB
ESP-La Liga,2022 - 2023,Valencia,Toni Lato,ESP,24,1997,Left,LB,14,CM
ESP-La Liga,2022 - 2023,Valencia,Yunus Musah,USA,19,2002,Right,CM,6,RM
ESP-La Liga,2022 - 2023,Valladolid,Cyle Larin,CAN,27,1995,Right,ST,3,ST
ESP-La Liga,2022 - 2023,Valladolid,Javi Sánchez,ESP,25,1997,Right,CB,4,CB
ESP-La Liga,2022 - 2023,Valladolid,Jawad El Yamiq,MAR,30,1992,Right,CB,10,CB
ESP-La Liga,2022 - 2023,Valladolid,Kike Pérez,ESP,25,1997,Left,CM,2,CDM
ESP-La Liga,2022 - 2023,Valladolid,Óscar Plano,ESP,31,1991,Left,ST,6,RM
ESP-La Liga,2022 - 2023,Villarreal,Alberto Moreno,ESP,30,1992,Left,LB,14,CM
ESP-La Liga,2022 - 2023,Villarreal,Alex Baena,ESP,21,2001,Right,LM,11,ST
ESP-La Liga,2022 - 2023,Villarreal,Aïssa Mandi,ALG,30,1991,Right,CB,10,CB
ESP-La Liga,2022 - 2023,Villarreal,Gerard Moreno,ESP,30,1992,Left,ST,3,ST
ESP-La Liga,2022 - 2023,Villarreal,Giovani Lo Celso,ARG,26,1996,Left,CAM,16,RM
ESP-La Liga,2022 - 2023,Villarreal,Juan Foyth,ARG,24,1998,Right,CB,5,CDM
ESP-La Liga,2022 - 2023,Villarreal,Nicolas Jackson,SEN,21,2001,Right,ST,17,ST
ESP-La Liga,2022 - 2023,Villarreal,Pau Torres,ESP,25,1997,Left,CB,15,CB
ESP-La Liga,2022 - 2023,Villarreal,Samuel Chukwueze,NGA,23,1999,Left,RW,0,RM
FRA-Ligue 1,2022 - 2023,Ajaccio,Kevin Spadanuda,SUI,25,1997,Right,LM,14,CM
FRA-Ligue 1,2022 - 2023,Ajaccio,Mounaim El Idrissy,FRA,23,1999,Right,ST,17,ST
FRA-Ligue 1,2022 - 2023,Ajaccio,Vincent Marchetti,FRA,25,1997,Left,CM,2,CDM
FRA-Ligue 1,2022 - 2023,Angers,Abdallah Sima,SEN,21,2001,Right,LM,3,ST
FRA-Ligue 1,2022 - 2023,Angers,Adrien Hunou,FRA,28,1994,Right,ST,6,RM
FRA-Ligue 1,2022 - 2023,Angers,Amine Salama,FRA,22,2000,Right,ST,12,ST
FRA-Ligue 1,2022 - 2023,Angers,Azzedine Ounahi,MAR,22,2000,Right,CM,6,RM
FRA-Ligue 1,2022 - 2023,Angers,Batista Mendy,FRA,22,2000,Right,CDM,5,CDM
FRA-Ligue 1,2022 - 2023,Angers,Himad Abdelli,ALG,22,1999,Right,CAM,13,LB
FRA-Ligue 1,2022 - 2023,Angers,Nabil Bentaleb,ALG,27,1994,Left,CDM,7,CM
FRA-Ligue 1,2022 - 2023,Angers,Pierrick Capelle,FRA,35,1987,Left,CDM,1,CDM
FRA-Ligue 1,2022 - 2023,Angers,Souleyman Doumbia,CIV,25,1996,Left,LB,18,LB
FRA-Ligue 1,2022 - 2023,Angers,Yan Valery,TUN,23,1999,Right,RB,18,LB
FRA-Ligue 1,2022 - 2023,Auxerre,Gauthier Hein,FRA,25,1996,Left,CAM,6,RM
FRA-Ligue 1,2022 - 2023,Auxerre,Gideon Mensah,GHA,24,1998,Left,LB,13,LB
