league,season,team,player,nation,age,born,preferred_foot,pos,cluster,Dominant_Role_in_Cluster
ENG-Premier League,2024 - 2025,Leicester City,Jordan Ayew,GHA,32,1991,Right,RM,12,ST
ENG-Premier League,2024 - 2025,Leicester City,Oliver Skipp,ENG,23,2000,Right,CDM,14,CM
ENG-Premier League,2024 - 2025,Leicester City,Stephy Mavididi,ENG,26,1998,Right,LM,0,RM
ENG-Premier League,2024 - 2025,Leicester City,Wilfred Ndidi,NGA,27,1996,Right,CDM,2,CDM
ENG-Premier League,2024 - 2025,Leicester City,Wout Faes,BEL,26,1998,Right,CB,4,CB
ENG-Premier League,2024 - 2025,Liverpool,Alexis Mac Allister,ARG,25,1998,Right,CM,2,CDM
ENG-Premier League,2024 - 2025,Liverpool,Andrew Robertson,SCO,30,1994,Left,LB,7,CM
ENG-Premier League,2024 - 2025,Liverpool,Cody Gakpo,NED,25,1999,Right,LM,11,ST
ENG-Premier League,2024 - 2025,Liverpool,Curtis Jones,ENG,23,2001,Right,CAM,19,CM
ENG-Premier League,2024 - 2025,Liverpool,Darwin Núñez,URU,25,1999,Right,ST,3,ST
ENG-Premier League,2024 - 2025,Liverpool,Dominik Szoboszlai,HUN,23,2000,Right,CAM,9,CAM
ENG-Premier League,2024 - 2025,Liverpool,Ibrahima Konaté,FRA,25,1999,Right,CB,15,CB
ENG-Premier League,2024 - 2025,Liverpool,Luis Díaz,COL,27,1997,Right,LM,11,ST
ENG-Premier League,2024 - 2025,Liverpool,Mohamed Salah,EGY,32,1992,Left,RM,11,ST
ENG-Premier League,2024 - 2025,Liverpool,Ryan Gravenberch,NED,22,2002,Right,CDM,7,CM
ENG-Premier League,2024 - 2025,Liverpool,Trent Alexander-Arnold,ENG,25,1998,Right,RB,7,CM
ENG-Premier League,2024 - 2025,Liverpool,Virgil van Dijk,NED,33,1991,Right,CB,15,CB
ENG-Premier League,2024 - 2025,Manchester City,Bernardo Silva,POR,29,1994,Left,CM,7,CM
ENG-Premier League,2024 - 2025,Manchester City,Erling Haaland,NOR,24,2000,Left,ST,17,ST
ENG-Premier League,2024 - 2025,Manchester City,Jeremy Doku,BEL,22,2002,Right,LW,0,RM
ENG-Premier League,2024 - 2025,Manchester City,Joško Gvardiol,CRO,22,2002,Left,LB,7,CM
ENG-Premier League,2024 - 2025,Manchester City,Kevin De Bruyne,BEL,33,1991,Right,CM,9,CAM
ENG-Premier League,2024 - 2025,Manchester City,Kyle Walker,ENG,34,1990,Right,RB,14,CM
ENG-Premier League,2024 - 2025,Manchester City,Manuel Akanji,SUI,29,1995,Right,CB,15,CB
ENG-Premier League,2024 - 2025,Manchester City,Mateo Kovačić,CRO,30,1994,Right,CM,7,CM
ENG-Premier League,2024 - 2025,Manchester City,Matheus Nunes,POR,25,1998,Right,RB,9,CAM
ENG-Premier League,2024 - 2025,Manchester City,Omar Marmoush,EGY,25,1999,Right,ST,3,ST
ENG-Premier League,2024 - 2025,Manchester City,Phil Foden,ENG,24,2000,Left,RW,11,ST
ENG-Premier League,2024 - 2025,Manchester City,Rico Lewis,ENG,19,2004,Right,RB,5,CDM
ENG-Premier League,2024 - 2025,Manchester City,Rúben Dias,POR,27,1997,Right,CB,15,CB
ENG-Premier League,2024 - 2025,Manchester City,İlkay Gündoğan,GER,33,1990,Right,CM,7,CM
